,offset_00,offset_01,offset_02,offset_03,offset_04,offset_05,offset_06,offset_07,offset_08,offset_09,offset_10,offset_11,offset_12,offset_13,offset_14,offset_15,offset_16,offset_17,offset_18,offset_19,offset_20
2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999009262498064,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.001677796802961,1.0002232521446015,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0023824018596412,1.0012393800142454,0.9997867154456637,1.0,1.0,1.0,1.0,1.0
2021-01-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0031765536433213,1.001963657815495,0.9998883812599161,1.0005486920008806,1.0,1.0,1.0,1.0
2021-01-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0013690515717009,0.9995485014869777,0.997639202909392,0.9988424915265453,0.9997202754333638,1.0,1.0,1.0
2021-01-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000884305680733,0.9985337141151954,0.9976413000956762,1.0000917616247318,0.9988990720889909,1.000298129505761,1.0,1.0
2021-01-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0014509219640852,0.9956993508294621,0.9974413519013537,1.0003157199705413,0.9971301991393098,0.997983189927305,0.9996748243973503,1.0
2021-01-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0048329834660639,1.0007241476339037,1.0012688898176514,0.9971925140417115,0.9975731260791587,0.9996946403070551,1.001536803668273,1.0001658802558306
2021-01-10,0.9993913721217242,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0046313229788022,1.0018684902557775,1.0008683904597353,0.9948310185293696,0.9950481916871623,0.9950582144430655,0.9966195841427269,0.9992428116531461
2021-01-11,0.9957950764302329,0.999896155050416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.00492947733397,1.0033397955142729,0.998184119300542,0.9935829238901248,0.993120151415709,0.9928661851281975,0.9926464239114171,0.9945621566620336
2021-01-12,0.996781966992498,1.000404591108948,1.0004677893196199,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0054587804418047,1.002794111616401,0.998296694649239,0.9908616949206481,0.9922982050833439,0.9918898279822445,0.9914476727474199,0.9959157742897748
2021-01-13,0.9967586858319748,1.00302169313686,1.003881170891512,0.9990383727608687,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0072572259046833,1.0038513455918199,0.9985368818493696,0.9919673793182539,0.9940306935443753,0.9933484490012655,0.9919284017038171,0.9986631586667832
2021-01-14,0.9969560702550893,1.002752273120768,1.0008354172859057,0.9981957004975041,0.9992047289462543,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0091603797716826,1.0056919814749004,1.0008986914488374,0.9962434785477601,0.9953230412319511,0.9927149457663537,0.9914353527312314,0.998224322760879
2021-01-15,0.9982703972507354,1.0032292692363771,1.0003700281370729,0.9997044432199422,0.9983045356144472,0.9995414468112921,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0091376372447978,1.0048587946348164,1.0009021305790604,0.9936896289552581,0.9945175965760593,0.9918569047554501,0.9913165576759638,0.9992164629828767
2021-01-16,0.9990244933185,1.0031110451287828,1.000275950876155,1.0019820532684223,0.9966858442039562,0.9974558169030298,1.0001436690481196,1.0,1.0,1.0,1.0,1.0,1.0,1.008924471442048,1.0044548592880258,1.0015072950378965,0.9898454098964459,0.9904194966108552,0.9892400732018368,0.9896867476686995,0.9998592336319665
2021-01-17,0.9991961444330738,1.0039574478354047,1.0012761331169295,1.0033255637824974,0.9961994476273486,0.9956467929273624,0.9993643942165501,0.9987993052463667,1.0,1.0,1.0,1.0,1.0,1.007409473090647,1.0029724293786055,1.0016572860237416,0.9936947608362039,0.995370923966666,0.9931601422976492,0.9940497232663503,1.0008185386721553
