symbol,total_pnl_usdt,price_pnl_usdt,funding_pnl_usdt,fee_pnl_usdt,avg_weight,avg_abs_weight,max_abs_weight,active_bars,avg_turnover,pnl_share
DUSK-USDT,188.17310300428724,183.95788913429473,4.693155621892277,-0.4779417518997654,-0.0011379551820728292,0.005712701747365613,0.041666666666666664,665,0.0006210817660397491,0.054937157344556495
VVV-USDT,186.62464993493592,185.7215029232679,1.2803944063926491,-0.3772473947246492,0.0002626050420168067,0.002130018674136321,0.07936507936507936,198,0.00020841670001333864,0.05448508630701997
SIREN-USDT,168.59000319676773,169.13032658813725,-0.3520010635992733,-0.1883223277702466,0.0010504201680672268,0.0014005602240896359,0.03968253968253968,161,0.0001250500200080032,0.04921986928242924
EUL-USDT,133.56304431406275,133.74537320164615,0.16279073560047674,-0.34511962318386247,-0.0019038865546218485,0.0019038865546218485,0.05555555555555555,101,0.00015006002400960383,0.03899374492821358
VELVET-USDT,130.23540032053296,130.80462250863224,-0.33313686165096423,-0.23608532644829813,6.773542750433512e-05,0.0010160314125650261,0.047619047619047616,105,0.0001104608510070695,0.038022238911994834
AIN-USDT,114.53740626186091,114.83059968395548,0.043603278650305374,-0.3367967007448819,-0.0002125850340136054,0.0015214419100973721,0.047619047619047616,144,0.00016256502601040416,0.03343920788457148
B-USDT,112.24987582325976,111.9420268817743,0.5871422179528294,-0.2792932764673439,-0.0009837268240629584,0.0012588368680805653,0.0873015873015873,96,0.00014589169000933706,0.03277136313083411
PROM-USDT,99.81431198284139,101.2818367610228,-1.2478486448170996,-0.21967613336429925,-0.0004376750700280111,0.0011462918500733626,0.05555555555555555,127,0.0001250500200080032,0.029140798951033265
SQD-USDT,87.60367391674167,87.70780591911512,0.15717378348837568,-0.26130578586182995,-0.0014547485660931039,0.001521441910097372,0.06349206349206349,102,0.00014589169000933704,0.025575901874858316
AIOT-USDT,84.29320911846307,83.12451519543292,1.4064845220433355,-0.23779059901319355,-0.0011171135120714953,0.001467253568093904,0.05555555555555555,154,0.00011671335200746965,0.024609411326511968
AXS-USDT,83.37552886994557,84.70098461307535,-1.2374023624214912,-0.08805338070828932,0.0035670518207282917,0.003992221888755502,0.125,179,0.0003063725490196078,0.024341494480799704
UNFI-USDT,82.42013145955323,82.31109333188085,0.3216900629655126,-0.212651935293138,0.0009410014005602238,0.004736269507803121,0.08531746031746032,458,0.0004897792450313458,0.02406256610568485
PTB-USDT,72.77384540470173,72.30348494256842,0.5604742166882507,-0.09011375455494548,-0.00036264505802320927,0.00036264505802320927,0.015873015873015872,48,3.751500600240096e-05,0.021246331870689514
TAC-USDT,72.29256034482246,72.53795495748105,0.02018044579951353,-0.2655750584580922,-0.0007878151260504202,0.0015464519140989726,0.05555555555555555,123,0.0001417233560090703,0.021105820646502658
AR-USDT,72.24442619447323,73.08554698892448,-0.5510411015317085,-0.29007969291952856,-0.0007440476190476194,0.006069094304388421,0.10317460317460317,559,0.0006023242630385487,0.021091767876212093
HNT-USDT,72.22524905119795,74.61191343948524,-2.1295309877230824,-0.2571334005642073,0.0033044467787114846,0.008310615913031878,0.10912698412698413,580,0.0007190376150460183,0.02108616910720253
PENDLE-USDT,71.30823335149209,71.60586846322427,-0.1227121835771599,-0.17492292815503668,0.003764005602240896,0.003764005602240896,0.09523809523809523,154,0.00029178338001867413,0.020818446276586182
BNX-USDT,70.51625427388444,71.28340598271468,-0.3901046080504762,-0.3770471007797553,0.000634628851540616,0.0069163081899426436,0.10119047619047619,465,0.0006106609310390823,0.020587227901029414
DOOD-USDT,68.61436379303123,68.84532325241202,-0.052949708481105355,-0.17800975089968626,-8.753501400560223e-05,0.0008628451380552221,0.03968253968253968,99,9.170334800586901e-05,0.020031970773785428
NEIROETH-USDT,64.9743986302451,65.33570045738094,-0.2910527654679666,-0.07024906166786471,0.00043767507002801117,0.000496031746031746,0.03968253968253968,44,5.835667600373482e-05,0.01896928255913591
IOTA-USDT,62.18688180031366,62.252206158284665,0.15746899252306046,-0.2227933504940904,0.0003720238095238096,0.0033794767907162865,0.05555555555555555,430,0.0003897392290249433,0.0181554667255146
ESPORTS-USDT,61.89738096941207,62.287600941320804,-0.19335037747121864,-0.1968695944375233,0.0001250500200080031,0.001100440176070428,0.047619047619047616,99,9.170334800586901e-05,0.01807094692728255
EPIC-USDT,61.849134501251555,61.83860806702058,0.2747319057946204,-0.2642054715636572,-0.0016631652661064425,0.0016631652661064425,0.06349206349206349,158,0.00015006002400960383,0.01805686136579509
BAS-USDT,60.62921601087515,60.733846950534826,-0.003363852728299456,-0.1012670869313847,8.753501400560224e-05,0.0002959517140189409,0.015873015873015872,63,4.168334000266773e-05,0.017700706033373242
CHZ-USDT,60.48810861420625,60.66626660870347,-0.09059692431535776,-0.08756107018186784,0.0010285364145658264,0.0012181956115779645,0.061507936507936505,139,0.00012296585300786982,0.01765950971397629
SOON-USDT,60.3644480094806,60.44078242864023,0.09816472883885508,-0.17449914799849633,-0.00043767507002801117,0.0007878151260504201,0.05555555555555555,53,7.503001200480192e-05,0.017623406987334316
YB-USDT,60.04273421427666,60.005537411006415,0.2449219338808607,-0.2077251306106127,-0.0008534663865546219,0.0008534663865546219,0.07738095238095238,40,8.128251300520208e-05,0.017529482610763716
XLM-USDT,59.95469928356093,60.434227040361975,-0.19094150960891695,-0.28858624719212533,0.0053177521008403355,0.0053177521008403355,0.07142857142857142,367,0.0004668534080298786,0.017503780803420733
HANA-USDT,57.37670279652331,57.544756962950395,-0.10986470058893849,-0.05818946583814037,8.753501400560224e-05,0.0002626050420168067,0.015873015873015872,43,2.501000400160064e-05,0.016751134456089823
PONKE-USDT,56.76390401115143,56.69280940420172,0.25099879840117156,-0.17990419145145226,-0.001137955182072829,0.0016631652661064425,0.05555555555555555,158,0.00015006002400960383,0.016572227785821646
MATIC-USDT,56.70964935733508,57.797810617612825,-1.0489048806651082,-0.03925637961262984,0.0022540266106442575,0.0022540266106442575,0.11706349206349206,92,0.0001729858610110711,0.016556388133895858
ZETA-USDT,53.387760788630324,53.32301979637691,0.19024998687849656,-0.12550899462507797,-0.0014662114845938375,0.0014662114845938375,0.09325396825396826,108,0.00013963918900893692,0.015586562414564128
B2-USDT,52.91613584086022,53.84324945213632,-0.5831748067659606,-0.3439388045101329,0.0007002801120448178,0.0021008403361344537,0.06349206349206349,190,0.0002000800320128051,0.015448871461130288
SKYAI-USDT,52.850318829163186,53.1272985712965,-0.06031317825818956,-0.21666656387513578,-8.753501400560224e-05,0.001154628518073896,0.031746031746031744,139,0.00013338668800853674,0.015429656177597093
SLERF-USDT,50.75210597140243,50.6328614960887,0.27115746498374277,-0.15191298967001698,-0.0007002801120448179,0.0012755102040816326,0.0873015873015873,89,0.00013338668800853674,0.014817082711629707
1000000MOG-USDT,49.79331123011135,49.77279852957648,0.2893899004319962,-0.26887719989711667,-0.0010504201680672268,0.0017006802721088435,0.047619047619047616,165,0.00019174336401227158,0.01453716248539928
DOLO-USDT,49.53497779844227,49.342444432587435,0.3477119257875018,-0.15517855993267385,0.000641923436041083,0.0009670534880618914,0.03968253968253968,109,0.00010420835000666933,0.014461742012672951
