,2018,2019,2020,2021,2022,2023,2024,2025,2026
00001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00020,0.0,0.0,0.0,0.0,0.0,0.0,-0.005855123594120897,0.0,0.0
00023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00038,0.0,-0.019119140039331496,-0.0514660957456424,0.0,0.0,0.0,0.0,0.0,0.0
00041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00081,0.006558259467822403,0.015402162614158001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00107,0.0,0.0,0.0020309075859072,0.0013809520779265003,-0.03259928629789887,0.0011792617107608935,0.0,0.0,0.0
00116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00135,0.0,0.0,0.28910933300523134,0.0,0.0,0.0,0.0,0.0,0.0
00136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00142,0.0,0.0,-0.0023360704179257053,0.0,0.0,0.0,0.0,0.0,0.0
00144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00215,-0.04069485909021089,-0.0092116223952781,-0.0186537799991482,0.058031692691741896,0.0011839869527148026,0.0,-0.004557065251829175,0.0005492343254393836,0.0
00220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00272,0.0,0.0102647407621882,0.0,0.005311456267280804,-0.07801980275980629,-0.003216002265942401,0.0,0.0,0.0
00279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00297,0.0,0.0,0.0,0.0401583593219305,0.041734611858059295,0.0004525467756193049,-0.0170610398335577,0.015396689605508398,0.0
00299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00321,0.0,0.0812423052488493,0.0,-0.0157978895622506,0.0,0.0,-0.0245641506914013,-0.008008685781972209,0.0
00322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00327,0.0,0.0006720382408110965,0.039939002452304105,0.0,0.0,0.0,0.0,0.0,0.0
00330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00337,-0.0224801986832645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0201981417809096
00341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00371,0.0,0.0,0.0,0.0,0.0,-0.0075590261431959,0.0,0.0,0.0
00384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00405,0.0,0.0,0.0,0.0,0.0,-0.0142955193304549,-0.0033578629556422004,0.0030297865317706544,0.0
00410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0170887497825088,0.0
00460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00467,0.0357718578033949,0.0,0.0,0.0,-0.0397170211403323,0.020324666672795963,0.0,0.0,0.0
00468,0.0,0.0,0.0,0.0,0.02565470424562001,0.0,0.0,0.0,0.0
00470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
