,total_contribution,avg_weight,turnover
1788,0.4084386609640965,0.0084701366044945,1.2358172381602466
1114,0.3809528929474573,0.0173588306329001,1.4675607077661157
3998,0.3172613019832345,0.0149847965023408,1.7484961422955978
2899,0.2968927456920346,0.0145880121677484,1.539184810813035
135,0.2891093330052315,0.0028466832414926,0.5238470659642918
2866,0.1964140507005487,0.031333283775442,3.451839442310985
728,0.1720796383288323,0.0098339465340978,1.323083260740238
2255,0.1694549111742819,0.0094169122108596,1.3441300313448656
1681,0.1692878037755872,0.0070168714456043,1.0476117940079823
3800,0.1614492398307734,0.0053727426974532,1.0566110332087266
1357,0.1523503326621553,0.0028795050794561,0.3935521136349071
1516,0.14553292713734,0.0026084645921506,0.598222637972468
639,0.1400358957728808,0.007805343718145,1.1766096074990775
1995,0.1265259079760073,0.0122817745273176,0.8528098901246112
968,0.1216955855956493,0.0053294741998548,0.4526573494152784
6808,0.1144979019933327,0.00933278982775,1.1899654327124911
2858,0.1120812000585565,0.0052424259264459,0.824026899399303
857,0.1116099772249651,0.002882751697216,0.3361489099823326
3996,0.1112718925444359,0.004169162033037,0.5040986213973071
1071,0.1096722841393517,0.016500038566147,2.0167782643775083
1783,0.108909645842996,0.0059646256227405,0.3841499350738784
697,0.108248690317427,0.0138907138073093,1.767469290888751
992,0.0977379519943367,0.0043080119419957,0.3395923896524425
6865,0.0924355757109316,0.001505018514738,0.3155352677057061
3339,0.090804637511902,0.0168016478040397,1.640106801909368
933,0.0831800338114467,0.0014004335630462,0.3427466975272854
1883,0.0831796124474549,0.0066079508309602,0.6472939421661035
297,0.0806811677275592,0.0271638595799367,2.470390581346053
978,0.0768239760691464,0.007619405319655,1.0171292626890025
6806,0.0751281699312222,0.0018536660328241,0.3420201831214599
1428,0.0701254350645148,0.0100344936350441,1.280468168402835
2477,0.0698440223792648,0.0108846197687304,0.8623471889542937
991,0.0663809716816,0.0110212033690356,1.0184365351588929
1157,0.0553737627427233,0.00438801267395,0.6228750956039402
2343,0.0504439760677572,0.0041689371578719,0.6473831469043674
1033,0.0485310513901457,0.0028363570131729,0.3779257157779246
535,0.0477652478902881,0.0042159828994725,0.6976696139421246
1898,0.0464458146028753,0.0113408546344357,1.5632159784439714
517,0.0446132538983963,0.0095190775304336,1.1123166105943438
2386,0.0419254266761534,0.0012991847556583,0.2640510306994751
598,0.0409588157751068,0.0258698785675439,2.110023073126221
327,0.0406110406931155,0.0073824754708087,1.1780750707796803
1610,0.0388580104912571,0.0014481236022265,0.2575118282732639
1773,0.0373414768848622,0.0043385925982806,0.6685643179664198
321,0.032871579213225,0.0140866337423499,0.8228770586383791
3369,0.0300376510858387,0.0008523765109911,0.227871830421925
1981,0.0297383371181872,0.0050156399683487,0.4507702672645116
2232,0.0295401462545777,0.0050853901805731,0.5197699853245762
2380,0.0276516095528259,0.0271676197011538,3.1334675728280565
468,0.0256547042456199,0.0014671111659008,0.1971489439776996
2169,0.0252177684132642,0.0020781526967017,0.2161744497134069
1368,0.0229046984900218,0.0041573540281633,0.5526187005960104
81,0.0219604220819806,0.0039676058891067,0.5213519827709003
2798,0.0219213231858456,0.0040762850741919,0.2767314666173552
338,0.0201981417809098,0.0015086165502578,0.2242642102202647
3618,0.0175254943471725,0.0091096523534041,1.231669203834719
467,0.0163795033358586,0.0067524776917621,0.9957979743218766
732,0.0142516117332112,0.0175208109270916,1.6734151182291137
1618,0.0137053477831415,0.0027083770242612,0.5072627827349213
2009,0.0131211139075725,0.0121702723724025,1.6161413942880347
1382,0.0128787375119005,0.0009177842521492,0.128463670254786
1668,0.0128012588666806,0.0013208700048418,0.2100226492146888
1606,0.0106983896824862,0.0017032160903264,0.1431523014595432
3988,0.007051251905652,0.0061935955576174,0.8076109676808503
1528,0.0068842166024007,0.0022769729490444,0.3746115457661827
1890,0.0060045720581708,0.0035344157534109,0.4346162294937875
3368,0.0047438394869945,0.0012317343350426,0.2218033329290547
607,0.0033019327540451,0.0002477492401437,0.0432433158771746
1277,0.0019537503012249,0.0038923271895874,0.6485340835599759
579,0.001514415271518,0.0024731924312482,0.4227147069278923
1117,0.0012259760712695,0.0014533218264223,0.2127585870162455
9983,8.506084376846339e-05,0.0003299377587642,0.0140676972725982
241,0.0,0.0,0.0
87,0.0,0.0,0.0
95,0.0,0.0,0.0
101,0.0,0.0,0.0
116,0.0,0.0,0.0
119,0.0,0.0,0.0
120,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
127,0.0,0.0,0.0
136,0.0,0.0,0.0
144,0.0,0.0,0.0
148,0.0,0.0,0.0
151,0.0,0.0,0.0
9896,0.0,0.0,0.0
295,0.0,0.0,0.0
152,0.0,0.0,0.0
163,0.0,0.0,0.0
165,0.0,0.0,0.0
168,0.0,0.0,0.0
173,0.0,0.0,0.0
175,0.0,0.0,0.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
185,0.0,0.0,0.0
187,0.0,0.0,0.0
189,0.0,0.0,0.0
200,0.0,0.0,0.0
220,0.0,0.0,0.0
330,0.0,0.0,0.0
336,0.0,0.0,0.0
