year,symbol,total_contribution
2018,00337,-0.0224801986832645
2018,02255,-0.027471105047390303
2018,03382,-0.027733896683277595
2018,00517,-0.040641760262627856
2018,00215,-0.040694859090210894
2018,01585,-0.0531619079880341
2018,00956,-0.0568916999997027
2018,00546,-0.0616843848846833
2018,01157,-0.1050385073242775
2018,01898,-0.1177366735360778
2019,02233,-0.01749287334132381
2019,00775,-0.01766994374533589
2019,00038,-0.0191191400393315
2019,00732,-0.021970317191645102
2019,00579,-0.0224191320409655
2019,03818,-0.0265678136162729
2019,02380,-0.0299263338869111
2019,03339,-0.0380117075867796
2019,01361,-0.0400354239577475
2019,00631,-0.0403977604135061
2020,01811,-0.0302838503737711
2020,01068,-0.0335121816701802
2020,01071,-0.03511534305682247
2020,01905,-0.043275204945567705
2020,03738,-0.0474177536905243
2020,00598,-0.0483304960457428
2020,00038,-0.05146609574564241
2020,03818,-0.052425632123561196
2020,02380,-0.05744349015101583
2020,00546,-0.0643315469318023
2021,01735,-0.0029315336225225995
2021,01288,-0.0032772768337747
2021,02233,-0.009078549427984896
2021,01359,-0.0151149896125247
2021,00321,-0.0157978895622506
2021,03393,-0.01718813692024536
2021,01855,-0.018266494007877297
2021,01258,-0.018590316090626904
2021,01980,-0.025054067501209303
2021,03877,-0.0530712104765169
2022,03877,-0.0060582504488220995
2022,01288,-0.007496334664429001
2022,00535,-0.011964110081974767
2022,00107,-0.032599286297898857
2022,00467,-0.03971702114033229
2022,02858,-0.0402977847929613
2022,00546,-0.042172010795637455
2022,02233,-0.04536869065009578
2022,00709,-0.06496031836179539
2022,00272,-0.07801980275980629
2023,02016,-0.0038311655650559015
2023,02009,-0.004320603492812205
2023,01988,-0.0061291390085569004
2023,00371,-0.0075590261431959
2023,00405,-0.014295519330454897
2023,02866,-0.0150901672153568
2023,06808,-0.022829990853069505
2023,03330,-0.023791406069772553
2023,01516,-0.024731887513145503
2023,02233,-0.0363396055494635
2024,00405,-0.0033578629556421996
2024,00215,-0.004557065251829175
2024,00020,-0.005855123594120897
2024,01137,-0.006306549960968401
2024,02866,-0.006846755410570498
2024,00732,-0.008592538798553605
2024,00297,-0.017061039833557702
2024,01508,-0.0219610226178912
2024,00321,-0.024564150691401294
2024,01905,-0.034940695213377795
2025,00451,-0.017088749782508805
2025,00658,-0.017149279008432397
2025,00520,-0.018801592050028598
2025,01086,-0.019159739830507304
2025,03380,-0.0196393107622909
2025,02009,-0.019767405463176697
2025,00604,-0.0201436911767155
2025,01060,-0.021302220356239403
2025,00581,-0.022896382389047926
2025,01725,-0.0466437560184466
2026,02798,-0.004948416246633602
2026,01812,-0.006543321416668301
2026,09886,-0.012570956584264199
2026,01141,-0.013908229434490797
2026,01053,-0.020038574655886498
2026,02799,-0.029436370027946
2026,01918,-0.0296615383968423
2026,01685,-0.03013275012567951
2026,01060,-0.0314556523841799
2026,02473,-0.0451843785463251
