date,equity
2018-06-28,853161.9777400119
2018-06-29,912592.1703235612
2018-07-03,897428.189961534
2018-07-04,905762.7942539902
2018-07-05,897941.1991917052
2018-07-06,894945.4629875538
2018-07-09,920020.5017980644
2018-07-10,933075.4638015514
2018-07-11,917501.9330929792
2018-07-12,911724.9974419404
2018-07-13,913775.670844678
2018-07-16,915302.155954074
2018-07-17,914027.329159946
2018-07-18,931287.1755142309
2018-07-19,933633.2031864636
2018-07-20,943639.618694188
2018-07-23,949355.6951546988
2018-07-24,943310.6223126416
2018-07-25,967251.8958532154
2018-07-26,950784.972119842
2018-07-27,967036.1642824336
2018-07-30,983491.9787281211
2018-07-31,983055.9083148708
2018-08-01,977102.440277912
2018-08-02,956848.5575337092
2018-08-03,945740.5641311894
2018-08-06,937100.179957156
2018-08-07,944177.942371156
2018-08-08,949991.3794762212
2018-08-09,960318.1166017826
2018-08-10,934545.6532675412
2018-08-13,914174.5221759704
2018-08-14,912043.7736725372
2018-08-15,861945.7387614399
2018-08-16,833024.4740604254
2018-08-17,828109.8581093815
2018-08-20,827739.4994522455
2018-08-21,867158.6503969169
2018-08-22,841573.8910281747
2018-08-23,833354.7794388678
2018-08-24,830689.0902146519
2018-08-27,878304.3941505606
2018-08-28,874353.989349302
2018-08-29,893527.9766093752
2018-08-30,895056.6934973169
2018-08-31,905806.3941640212
2018-09-03,892222.3295866585
2018-09-04,898302.8151530083
2018-09-05,866247.7826267781
2018-09-06,854967.8454101691
2018-09-07,837141.1522110185
2018-09-10,799495.549049576
2018-09-11,784653.3565857682
2018-09-12,776315.9472813001
2018-09-13,809648.8624609477
2018-09-14,825936.7461413424
2018-09-17,819796.8905067703
2018-09-18,828798.1965036537
2018-09-19,857951.2109288399
2018-09-20,875038.2546555924
2018-09-21,945187.9483183278
2018-09-24,927043.225010323
2018-09-26,904833.1136498692
2018-09-27,918774.3666332624
2018-09-28,939181.7281433954
2018-10-02,924565.3356240344
2018-10-03,937963.7408872364
2018-10-04,916108.1074754144
2018-10-05,892447.6271095974
2018-10-08,878448.0338092701
2018-10-09,863865.4524434314
2018-10-10,861212.2788668507
2018-10-11,810110.1578933701
2018-10-12,835804.5890098946
2018-10-15,835615.7720992751
2018-10-16,820323.5116269523
2018-10-18,825633.0369931327
2018-10-19,839332.4781227999
2018-10-22,913856.8383736536
2018-10-23,902275.7103349871
2018-10-24,908468.5839291052
2018-10-25,919011.3760196064
2018-10-26,901030.3256675455
2018-10-29,893219.7009424095
2018-10-30,888231.9094813882
2018-10-31,907821.345230666
2018-11-01,933566.423542768
2018-11-02,970497.9477457218
2018-11-05,987659.1739305336
2018-11-06,1010722.348754912
2018-11-07,1006867.042039234
2018-11-08,1009385.562402192
2018-11-09,982894.9925520172
2018-11-12,984687.3908720624
2018-11-13,972306.4954899348
2018-11-14,980227.7255530464
2018-11-15,970113.2032470822
2018-11-16,965984.5207975002
2018-11-19,962790.3064031708
2018-11-20,956014.4937877684
2018-11-21,973765.488875639
2018-11-22,948215.0217130552
2018-11-23,921063.6534052164
2018-11-26,915700.864131618
2018-11-27,924906.3886726628
