date,selected_symbols
2018-06-28,"00517,00992,01157,01585,01898,03382"
2018-06-29,"00992,01157,01585,01898,03382"
2018-07-03,"00215,00467,00992,01585,03382,03738"
2018-07-04,"00215,00467,00992,01585,03738"
2018-07-05,"00215,00467,00992,01585,03738"
2018-07-06,"00215,00467,00992,01585,03738"
2018-07-09,"00215,00467,00992,01585,03738"
2018-07-10,"00215,00467,00992,01585,03738"
2018-07-11,"00215,00467,00992,01585,03738"
2018-07-12,"00215,00467,00992,01585,03738"
2018-07-13,"00215,00467,00992,01585,03738"
2018-07-16,"00215,00467,00992,01585,03738"
2018-07-17,"00215,00467,00992,01585,03738"
2018-07-18,"00215,00467,00992,01585,03738"
2018-07-19,"00215,00467,00992,01585,03738"
2018-07-20,"00215,00467,00992,01585,03738"
2018-07-23,"00215,00467,00992,01585,03738"
2018-07-24,"00215,00956,02380,03738"
2018-07-25,"00215,00956,02380,03738"
2018-07-26,"00215,00956,02380,03738"
2018-07-27,"00215,00956,02380,03738"
2018-07-30,"00215,00956,02380,03738"
2018-07-31,"00215,00956,02380,03738"
2018-08-01,"00215,00956,02380,03738"
2018-08-02,"00215,00956,02380,03738"
2018-08-03,"00215,00956,02380,03738"
2018-08-06,"00215,00956,02255,02380,03738"
2018-08-07,"00215,00956,02255,02380,03738"
2018-08-08,"00215,00956,02255,02380,03738"
2018-08-09,"00215,00956,02255,02380,03738"
2018-08-10,"00215,00956,02255,02380,03738"
2018-08-13,"00215,00956,02255,02380,03738"
2018-08-14,"00215,00546,00968,02233,02255,02899,03738"
2018-08-15,"00546,00968,02233,02255,02899,03738"
2018-08-16,"00546,00968,02233,02255,02899,03738"
2018-08-17,"00546,00968,02233,02255,02899,03738"
2018-08-20,"00546,00968,02233,02255,02899,03738"
2018-08-21,"00546,00968,02233,02899,03738"
2018-08-22,"00546,00968,02233,02899,03738"
2018-08-23,"00546,00968,02233,02899,03738"
2018-08-24,"00546,00968,02233,02899,03738"
2018-08-27,"00546,00968,02233,02899,03738"
2018-08-28,"00546,00968,02233,02899,03738"
2018-08-29,"00546,00968,02233,02899,03738"
2018-08-30,"00546,00968,02233,02899,03738"
2018-08-31,"00546,00968,02233,02899,03738"
2018-09-03,"00546,00968,02233,02899,03738"
2018-09-04,"00546,00732,00968,01585,01883,02899"
2018-09-05,"00732,00968,01585,01883,02899"
2018-09-06,"00732,00968,01585,01883,02899"
2018-09-07,"00732,00968,01585,01883,02899"
2018-09-10,"00732,00968,01585,01883,02899"
2018-09-11,"00732,00968,01585,01883,02899"
2018-09-12,"00732,00968,01585,01883,02899"
2018-09-13,"00732,00968,01585,01883,02899"
2018-09-14,"00732,00968,01585,01883,02899"
2018-09-17,"00732,00968,01585,01883,02899"
2018-09-18,"00732,00968,01585,01883,02899"
2018-09-19,"00732,00968,01585,01883,02899"
2018-09-20,"00732,00968,01585,01883,02899"
2018-09-21,"00732,00968,01585,01883,02899"
2018-09-24,"00732,00968,01585,01883,02899"
2018-09-26,"00732,00968,01883,02899,03738"
2018-09-27,"00732,00968,01883,02899,03738"
2018-09-28,"00732,00968,01883,02899,03738"
2018-10-02,"00732,00968,01883,02899,03738"
2018-10-03,"00732,00968,01883,02899,03738"
2018-10-04,"00732,00968,01883,02899,03738"
2018-10-05,"00732,00968,01883,02899,03738"
2018-10-08,"00732,00968,01883,02899,03738"
2018-10-09,"00732,00968,01883,02899,03738"
2018-10-10,"00732,00968,01883,02899,03738"
2018-10-11,"00732,00968,01883,02899,03738"
2018-10-12,"00732,00968,01883,02899,03738"
2018-10-15,"00732,00968,01883,02899,03738"
2018-10-16,"00732,00968,01883,02899,03738"
2018-10-18,"00732,00968,01883,02899,03738"
2018-10-19,"00732,00968,01788,01883,02899,03738"
2018-10-22,"00968,01788,01883,02899,03738"
2018-10-23,"00968,01788,01883,02899,03738"
2018-10-24,"00968,01788,01883,02899,03738"
2018-10-25,"00968,01788,01883,02899,03738"
2018-10-26,"00968,01788,01883,02899,03738"
2018-10-29,"00968,01788,01883,02899,03738"
2018-10-30,"00968,01788,01883,02899,03738"
2018-10-31,"00968,01788,01883,02899,03738"
2018-11-01,"00968,01788,01883,02899,03738"
2018-11-02,"00968,01788,01883,02899,03738"
2018-11-05,"00968,01788,01883,02899,03738"
2018-11-06,"00968,01788,01883,02899,03738"
2018-11-07,"00968,01788,01883,02899,03738"
2018-11-08,"00968,01788,01883,02899,03738"
2018-11-09,"00081,00956,01883,01898,03738"
2018-11-12,"00081,00956,01883,01898,03738"
2018-11-13,"00081,00956,01883,01898,03738"
2018-11-14,"00081,00956,01883,01898,03738"
2018-11-15,"00081,00956,01883,01898,03738"
2018-11-16,"00081,00956,01883,01898,03738"
2018-11-19,"00081,00956,01883,01898,03738"
2018-11-20,"00081,00956,01883,01898,03738"
2018-11-21,"00081,00956,01883,01898,03738"
2018-11-22,"00081,00956,01883,01898,03738"
2018-11-23,"00081,00956,01883,01898,03738"
2018-11-26,"00081,00956,01883,01898,03738"
2018-11-27,"00081,00956,01883,01898,03738"
