date,turnover_hkd,trading_cost_hkd,trade_count,cash
2022-07-11,500237.5230209996,1052.443679040584,5,428.2255421511
2022-07-12,173503.3165310629,364.8426532248503,2,347.6261468928569
2022-07-13,575937.6701952566,1255.355940223988,7,60689.0886601613
2022-07-14,300406.1719341948,746.6265501255762,6,7651.444865350421
2022-07-15,173670.0715807294,515.7926641277725,6,75.95872945997246
2022-07-18,220024.69220751597,590.6418323982448,6,72895.14398038317
2022-07-19,43562.647581864105,230.54,4,91898.64835532205
2022-07-20,175602.39408040175,424.7961928912267,4,125392.85764389182
2022-07-21,198799.34340813936,499.4082396230266,5,188819.8805221936
2022-07-22,180536.35752510137,484.0326517829457,5,305087.0404093325
2022-07-25,241610.9704131541,575.6860797240711,5,427686.38166583946
2022-07-26,43076.23899309584,230.48,4,420014.1657737151
2022-07-27,1502018.576026596,3076.8442019820523,9,279.47143679100554
2022-07-28,1138549.0530685787,2387.2853347812543,8,59.21495483646868
2022-07-29,1426450.0990110473,2902.8079247102346,7,271.03380361013114
2022-08-01,544922.3994619244,1130.1915867280768,4,14.570482444949448
2022-08-02,1260405.7522377654,2582.3163003289933,7,480003.4304230558
2022-08-03,71312.81864772938,308.07,5,469572.6836179069
2022-08-04,66177.63918571395,257.41,4,463247.97568450106
2022-08-05,36312.13975304098,222.61,4,447221.9864514389
2022-08-08,67711.3342690654,257.79014848736324,4,468143.8625106063
2022-08-09,89001.03736254942,327.29999999999995,5,485498.6988255782
2022-08-10,39596.52033197658,226.03,4,462178.53491667856
2022-08-11,39564.34406018784,272.01,5,475177.2779431353
2022-08-12,23791.182930926952,210.03,4,473178.8364684085
2022-08-15,56452.37238525397,200.17,3,500523.5210595448
2022-08-16,65747.05263363129,300.35,5,475958.7837024297
2022-08-17,2048370.124093892,4093.821607987402,7,171719.7471828066
2022-08-18,855558.6225761413,1824.637711396695,7,651.4449839029694
2022-08-19,550104.941981516,1167.2729630804872,5,222.7302184275468
2022-08-22,838287.7268629129,1796.7824969170622,7,377029.6637675439
2022-08-23,378141.0532256006,885.2181336882336,6,292447.77873368736
2022-08-24,571346.4565916648,1237.9869211365974,6,373877.2856371424
2022-08-25,166643.69736148333,462.0105546075144,5,465436.214029384
2022-08-26,197852.4748172437,550.2017957798762,6,490666.6756984639
2022-08-29,79650.25479654779,318.1,5,480429.2706355701
2022-08-30,46754.3340459462,234.97,4,496109.6345071839
2022-08-31,68090.53537587209,304.62,5,480605.7799748783
2022-09-01,16755.714009904696,155.11999999999998,3,476954.9925615785
2022-09-02,27790.32158676414,213.52,4,482166.44922956126
2022-09-05,56124.35839271671,290.1600000000001,5,475143.4266628552
2022-09-06,45615.34895114589,278.78,5,475455.3100386872
2022-09-07,2839048.5348378005,5587.328761346075,7,1185534.8461846537
2022-09-08,1256903.221161008,2515.142576928806,6,808522.2327696912
2022-09-09,553728.241385166,1196.4564250709896,5,549188.1947669983
2022-09-13,376254.14007339446,820.4860659077613,5,551247.629535424
2022-09-14,299314.3503888329,674.5825666876573,5,592843.9260486362
2022-09-15,79364.22656258398,274.4706297487092,4,610385.3625867241
2022-09-16,295808.77761333296,660.2002533947192,5,439724.9464067435
2022-09-19,110667.28646458915,319.8228626612866,4,492003.3100466671
2022-09-20,52992.995697113874,241.73,4,501539.5183641438
2022-09-21,75161.87170359668,266.55,4,496475.6472480869
2022-09-22,79898.0388167764,272.17,4,501295.0177690127
2022-09-23,76127.39138428372,268.65,4,477744.71685973805
2022-09-26,23334.545739308967,162.97,3,476539.1567527053
2022-09-27,99609.67909073168,266.24297953282417,3,446243.7647299296
2022-09-28,73437.59640543612,312.9471730661661,5,428461.4117836139
2022-09-29,1004906.854463138,2075.0627812932407,7,326107.47399423295
2022-09-30,817628.82573014,1683.963060584112,7,98779.47494486177
2022-10-03,116198.8004366617,298.1610218582677,3,252.3379088291404
2022-10-05,906951.0271442194,1888.681238065485,8,373124.9927164782
2022-10-06,288292.8965366038,677.2541016025733,5,420830.2055757168
2022-10-07,294036.4152813877,629.5591322251101,4,359436.4329911137
2022-10-10,542949.9496294423,1169.0317080372645,6,251.92194722457495
2022-10-11,69909.31250482486,214.88,3,108.4689337207019
2022-10-12,17039.66806437366,156.16,3,165.33673943566464
2022-10-13,39549.1566499739,135.03,2,314.5316856518075
2022-10-14,4744.9428876897455,96.58,2,215.7012019687395
2022-10-17,2609.658937004271,94.33,2,327.4146930794845
2022-10-18,18574.7936710668,112.35,2,40.61698162189532
2022-10-19,80912.0819098423,230.4747454267516,3,235.36057915845595
2022-10-20,49691.52706948265,146.30000000000004,2,119.04875605261624
2022-10-21,1196072.259428176,2481.420765561352,7,204375.64932785573
2022-10-24,1122260.3113733896,2323.6870266720284,7,165989.61153965228
2022-10-25,253935.57272030145,520.3984581762412,2,283.42786117456853
2022-10-26,98337.794594572,221.1602356756576,2,115.16451607543422
2022-10-27,75991.06784038129,177.44285427230506,2,48.74596840565937
2022-10-28,16250.168456223297,110.06,2,12.92713425013335
2022-10-31,45299.47270902878,141.75,2,268.42695832316167
2022-11-01,0.0,0.0,0,268.42695832316167
2022-11-02,0.0,0.0,0,268.42695832316167
2022-11-03,61708.35334528772,205.82,3,362.2614272063947
2022-11-04,337353.70366589044,747.9787150434838,5,177.29599843498
2022-11-07,83119.14703671473,233.8670505873655,3,116.9083795466704
2022-11-08,0.0,0.0,0,116.9083795466704
2022-11-09,21950.45075203693,161.78,3,101.51410705303353
2022-11-10,18346.87654992473,112.33,2,62.38247141075408
2022-11-11,2311278.464702192,4628.482641588955,8,80.03670615572048
2022-11-14,1378988.835054094,2815.120249461092,9,547.8986881733872
2022-11-15,375286.77305887017,841.3032482003854,6,311.9933114674641
2022-11-16,995870.5323041604,2033.353151802385,7,139.46419365814654
2022-11-17,40251.8277681206,182.11,3,228.801156720343
2022-11-18,730730.7583186293,1518.8075733972155,7,107.10327325196704
2022-11-21,192625.31118691104,503.4013005233646,5,178.773883249527
2022-11-22,396164.7477858947,926.1813879829944,7,131.9915627748269
2022-11-23,450483.5499555516,1011.9725216959398,7,111.53802899480796
2022-11-24,565363.909119963,1260.3430415699108,7,440.8821238355594
2022-11-25,515856.2079570144,1127.5334755289484,7,28809.61326035621
2022-11-28,318174.3572167968,729.0113009475623,6,124770.35278165204
2022-11-29,385745.79953298287,917.668645935402,7,282350.3644359892
