date,equity
2025-04-23,15168166.5821962
2025-04-24,15101512.46146346
2025-04-25,15343080.157224374
2025-04-28,15344905.571330078
2025-04-29,15294742.052697212
2025-04-30,15488665.462271702
2025-05-02,15628663.330385027
2025-05-06,15671917.231155211
2025-05-07,15886721.35368537
2025-05-08,15680039.321250392
2025-05-09,15700599.606720775
2025-05-12,15811592.196304783
2025-05-13,15912752.48381557
2025-05-14,16040047.914123418
2025-05-15,16011504.342150556
2025-05-16,15962543.525111953
2025-05-19,15724684.74632116
2025-05-20,15673056.620917851
2025-05-21,15702661.585468795
2025-05-22,15806977.667715088
2025-05-23,15631354.174368128
2025-05-26,15570075.736940809
2025-05-27,15477720.412342174
2025-05-28,15569689.621749194
2025-05-29,15887844.82106217
2025-05-30,15940134.573204668
2025-06-02,15879843.233815469
2025-06-03,15862991.965399794
2025-06-04,15868828.90281149
2025-06-05,15850057.588038731
2025-06-06,15774072.081827687
2025-06-09,16087425.243307697
2025-06-10,16103879.909076013
2025-06-11,16188030.28467943
2025-06-12,16258173.309857575
2025-06-13,16293634.245222293
2025-06-16,16448746.868206108
2025-06-17,16432451.868206108
2025-06-18,16203452.430356149
2025-06-19,15762906.655336294
2025-06-20,15909901.336533591
2025-06-23,16322078.24307976
2025-06-24,16826005.687943857
2025-06-25,23801415.71567542
2025-06-26,23378567.831483293
2025-06-27,24252400.278984405
2025-06-30,23468314.934274644
2025-07-02,23762834.197238043
2025-07-03,23924051.07111592
2025-07-04,23926799.30230578
2025-07-07,24047570.503285136
2025-07-08,23940109.289360724
2025-07-09,23985153.13823409
2025-07-10,24599966.14555236
2025-07-11,25001525.899899505
2025-07-14,24976488.20755492
2025-07-15,24538531.047129672
2025-07-16,24779033.123770837
2025-07-17,24678404.02551088
2025-07-18,24525371.398413263
2025-07-21,24418973.867925603
2025-07-22,24602856.38565565
2025-07-23,24498368.76908524
2025-07-24,24922959.048598085
2025-07-25,24590665.62500492
2025-07-28,24295265.9826366
2025-07-29,24787150.30204248
2025-07-30,24547072.46605369
2025-07-31,23880764.59182167
2025-08-01,23723168.55380241
2025-08-04,23748630.045465074
2025-08-05,23817171.167851955
2025-08-06,23696491.905728616
2025-08-07,23661177.853921108
2025-08-08,23539430.655974723
2025-08-11,23349987.98923917
2025-08-12,23840520.647069275
2025-08-13,23655403.303066857
2025-08-14,24343454.753549185
2025-08-15,24382620.14265597
2025-08-18,24581970.790008765
2025-08-19,24610511.052146696
2025-08-20,24621317.879143827
2025-08-21,24261122.12232762
2025-08-22,24310973.8988198
2025-08-25,25465013.2575803
2025-08-26,25254703.991347898
2025-08-27,25296025.68178584
2025-08-28,25094437.442342907
2025-08-29,24581935.781427477
2025-09-01,24659511.206501983
2025-09-02,24339085.517781608
2025-09-03,24395310.405132774
2025-09-04,24542410.758378454
2025-09-05,25141003.731029905
2025-09-08,25597338.14892462
2025-09-09,25513395.866075978
2025-09-10,25427939.67572238
2025-09-11,25253460.461442582
2025-09-12,25343817.9959904
2025-09-15,25442964.954665184
2025-09-16,25343818.030395832
2025-09-17,25428621.25432411
2025-09-18,25202372.533944216
2025-09-19,25293485.97883557
2025-09-22,25015590.177137397
2025-09-23,24808869.022120982
2025-09-24,24660262.46897378
2025-09-25,24258669.80395023
2025-09-26,24097574.05193604
2025-09-29,24178633.232544404
2025-09-30,24863528.575430363
2025-10-02,24903499.90960145
2025-10-03,25132116.45543033
2025-10-06,24991596.79034274
2025-10-08,25239553.343657903
2025-10-09,24954591.631835982
2025-10-10,24929749.2189676
2025-10-13,24431036.781036712
2025-10-14,24225952.97400529
2025-10-15,24614329.824260727
2025-10-16,24239675.56603536
