date,selected_symbols
2020-11-05,
2020-11-06,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,
2020-11-20,
2020-11-23,
2020-11-24,
2020-11-25,
2020-11-26,
2020-11-27,
2020-11-30,
2020-12-01,
2020-12-02,"00598,00956,02232,03393,03988"
2020-12-03,"00598,00956,02232,03393,03988"
2020-12-04,"00598,00956,02232,03393,03988"
2020-12-07,"00598,00956,02232,03393,03988"
2020-12-08,"00598,00956,02232,03393,03988"
2020-12-09,"00598,00956,02232,03393,03988"
2020-12-10,"00598,00956,02232,03393,03988"
2020-12-11,"00598,00956,02232,03393,03988"
2020-12-14,"00598,00956,02232,03393,03988"
2020-12-15,"00598,00956,02232,03393,03988"
2020-12-16,"00598,00956,02232,03393,03988"
2020-12-17,"00598,00956,02232,03393,03988"
2020-12-18,"00598,00956,02232,03393,03988"
2020-12-21,"00598,00956,02232,03393,03988"
2020-12-22,"00598,00956,02232,03393,03988"
2020-12-23,"00728,00956,02232,03393,03988"
2020-12-24,"00728,00956,02232,02380,03393,03988"
2020-12-28,"00728,00956,02232,02380,03393,03988"
2020-12-29,"00728,00956,02232,02380,03393,03988"
2020-12-30,"00728,00956,02232,02380,03393,03988"
2020-12-31,"00728,00956,02232,02380,03393,03988"
2021-01-04,"00728,00956,02232,02380,03393,03988"
2021-01-05,"00728,00956,02232,02380,03393,03988"
2021-01-06,"00728,00956,02232,02380,03393,03988"
2021-01-07,"00728,00956,02232,02380,03393,03988"
2021-01-08,"00728,00956,02232,02380,03393,03988"
2021-01-11,"00728,00956,02232,02380,03393,03988"
2021-01-12,"00728,00956,02232,02380,03393,03988"
2021-01-13,"00728,00956,02232,02380,03393,03988"
2021-01-14,"00728,00956,02232,02380,03393,03988"
2021-01-15,"00321,00728,01258,02232,02233,03393,03800"
2021-01-18,"00321,00728,01258,02232,02233,03393,03800"
2021-01-19,"00321,00728,01258,02232,02233,03393,03800"
2021-01-20,"00321,00728,01258,02232,02233,03393,03800"
2021-01-21,"00321,00728,01258,02232,02233,03800"
2021-01-22,"00321,00728,01258,02232,02233,03800"
2021-01-25,"00321,00728,01258,02232,02233,03800"
2021-01-26,"00321,00728,01258,02232,02233,03800"
2021-01-27,"00321,00728,01258,02232,02233,03800"
2021-01-28,"00321,00728,01258,02232,02233,03800"
2021-01-29,"00321,00728,01258,02232,02233,03800"
2021-02-01,"00321,00728,01258,02232,02233,03800"
2021-02-02,"00321,00728,01258,02232,02233,03800"
2021-02-03,"00321,00728,01258,02232,02233,03800"
2021-02-04,"00321,00728,01258,02232,02233,03800"
2021-02-05,"00272,00321,00546,00728,01258,02232,02380"
2021-02-08,"00272,00321,00546,00728,02232,02380"
2021-02-09,"00272,00321,00546,00728,02232,02380,03393"
2021-02-10,"00272,00321,00546,00728,02380,03393"
2021-02-11,"00272,00321,00546,00728,02380,03393"
2021-02-16,"00272,00321,00546,00728,02380,03393"
2021-02-17,"00272,00546,00728,02380,03393"
2021-02-18,"00272,00546,00728,02380,03393"
2021-02-19,"00272,00546,00728,02380,03393"
2021-02-22,"00272,00546,00728,02380,03393"
2021-02-23,"00272,00546,00728,02380,03393"
2021-02-24,"00272,00546,00728,02380,03393"
2021-02-25,"00272,00546,00728,02380,03393"
2021-02-26,"00272,00546,00728,02380,03393"
2021-03-01,"00272,00546,00728,02380,03393"
2021-03-02,"00215,00272,00546,00991,01071,03393"
2021-03-03,"00215,00272,00546,00991,01071,03393"
2021-03-04,"00215,00272,00991,01071,02233,03393"
2021-03-05,"00215,00272,00991,01071,02233,03393"
2021-03-08,"00215,00272,00991,01071,02233,03393"
2021-03-09,"00215,00272,00991,01071,02233,03393"
2021-03-10,"00215,00272,00991,01071,02233,03393"
2021-03-11,"00215,00272,00991,01071,02233"
2021-03-12,"00215,00272,00991,01071,02233"
2021-03-15,"00215,00272,00991,01071,02233"
2021-03-16,"00215,00272,00991,01071,02233"
2021-03-17,"00215,00272,00991,01071,02233"
2021-03-18,"00215,00272,00991,01071,02233"
2021-03-19,"00215,00272,00991,01071,02233"
2021-03-22,"00215,00272,00991,01071,02233"
2021-03-23,"00215,00272,01071,01855,01898"
