date,equity
2025-11-18,20706856.620509733
2025-11-19,20580505.02223874
2025-11-20,20569699.24992772
2025-11-21,20053946.277008858
2025-11-24,20385155.66706926
2025-11-25,20484789.14220168
2025-11-26,20515182.80886949
2025-11-27,20441224.63020864
2025-11-28,20384329.376358308
2025-12-01,20076426.110626776
2025-12-02,20008692.98755278
2025-12-03,20013298.68309819
2025-12-04,19907546.59504932
2025-12-05,20118110.98130857
2025-12-08,20094131.482764203
2025-12-09,19928633.098253444
2025-12-10,19790398.76542928
2025-12-11,19352821.565963324
2025-12-12,19827959.814421877
2025-12-15,19853494.893289924
2025-12-16,19492796.058845334
2025-12-17,19656672.027961034
2025-12-18,19480167.15314896
2025-12-19,19735517.154827327
2025-12-22,19688490.41899983
2025-12-23,19621289.292022943
2025-12-24,19563214.750338435
2025-12-29,19263056.800561957
2025-12-30,19163487.181975503
2025-12-31,19178164.63972872
2026-01-02,19323955.33349733
2026-01-05,19433032.769813795
