date,selected_symbols
2025-11-18,"00520,00658,00732,01060,01725,01890,01905,02009,02369,02798,03877,09886"
2025-11-19,"00520,00658,00732,01060,01725,01890,01905,02009,02369,02798,03877,09886"
2025-11-20,"00520,00658,00732,01060,01725,01890,01905,02009,02369,02798,03877,09886"
2025-11-21,"00520,00658,00732,01060,01725,01890,01905,02009,02369,02798,03877,09886"
2025-11-24,"00520,00658,00732,01060,01725,01890,01905,02009,02369,02798,03877,09886"
2025-11-25,"00520,00658,00732,01060,01725,01890,01905,02009,02369,02798,03877,09886"
2025-11-26,"00520,00658,00732,01060,01725,01890,01905,02009,02369,02798,03877,09886"
2025-11-27,"00520,00658,00732,01060,01725,01773,01890,01905,02009,02369,02798,03800,03877,09886"
2025-11-28,"00520,00658,00732,01725,01773,01890,01905,02009,02369,02798,03800,03877,09886"
2025-12-01,"00520,00658,00732,01725,01773,01890,01905,02009,02798,03800,03877,09886"
2025-12-02,"00520,00658,00732,01773,01890,01905,02009,02798,03800,03877,09886"
2025-12-03,"00520,00658,00732,01773,01890,01905,02009,02798,03800,03877,09886"
2025-12-04,"00520,00658,00732,01773,01890,01905,02009,02798,03800,03877,09886"
2025-12-05,"00520,00658,00732,01773,01890,01905,02009,02798,03800,03877,09886"
2025-12-08,"00520,00658,00732,01773,01890,01905,02009,02798,03800,03877,09886"
2025-12-09,"00520,00658,00732,01773,01890,01905,02009,02798,03800,03877,09886"
2025-12-10,"00520,00658,00732,01773,01890,01905,02009,02798,03800,03877,06666,09886"
2025-12-11,"00520,00658,00732,01773,01890,02009,02798,03800,03877,06666,09886"
2025-12-12,"00520,00658,00732,01773,01890,02009,02798,03800,03877,06666,09886"
2025-12-15,"00520,00658,00732,01773,01890,02798,03800,03877,06666,09886"
2025-12-16,"00520,00658,00732,01773,01890,02798,03800,03877,06666,09886"
2025-12-17,"00520,00658,00732,01773,01890,02798,03800,03877,06666,09886"
2025-12-18,"00520,00604,00658,00732,01528,01773,01890,01918,02798,02866,03877,09886"
2025-12-19,"00520,00604,00658,00732,01528,01773,01890,01918,02798,02866,03877,09886"
2025-12-22,"00520,00604,00658,00732,01528,01773,01890,01918,02798,02866,03877,09886"
2025-12-23,"00520,00604,00658,00732,01528,01890,01918,02798,02866,09886"
2025-12-24,"00520,00604,00658,00732,01528,01890,01918,02798,02866,09886"
2025-12-29,"00520,00604,00658,00732,01528,01890,01918,02798,02866,09886"
2025-12-30,"00520,00604,00658,00732,01528,01890,01918,02798,02866,09886"
2025-12-31,"00520,00604,00658,00732,01528,01890,01918,02798,02866,09886"
2026-01-02,"00520,00604,00658,00732,01528,01890,01918,02798,02866,09886"
2026-01-05,"00520,00604,00658,00732,01528,01918,02798,02866,09886"
