date,equity
2018-01-02,1000000.0
2018-01-03,1000000.0
2018-01-04,1000000.0
2018-01-05,1000000.0
2018-01-08,1000000.0
2018-01-09,1000000.0
2018-01-10,1000000.0
2018-01-11,1000000.0
2018-01-12,1000000.0
2018-01-15,1000000.0
2018-01-16,1000000.0
2018-01-17,1000000.0
2018-01-18,1000000.0
2018-01-19,1000000.0
2018-01-22,1000000.0
2018-01-23,1000000.0
2018-01-24,1000000.0
2018-01-25,1000000.0
2018-01-26,1000000.0
2018-01-29,1000000.0
2018-01-30,1000000.0
2018-01-31,1000000.0
2018-02-01,1000000.0
2018-02-02,1000000.0
2018-02-05,1000000.0
2018-02-06,1000000.0
2018-02-07,1000000.0
2018-02-08,1000000.0
2018-02-09,1000000.0
2018-02-12,1000000.0
2018-02-13,1000000.0
2018-02-14,989375.269312838
2018-02-15,1010632.2592008008
2018-02-20,1020764.5307761356
2018-02-21,1033103.3299695046
2018-02-22,1026354.45927298
2018-02-23,1054946.3269911737
2018-02-26,1012094.4370778196
2018-02-27,946769.953795606
2018-02-28,954457.355497645
2018-03-01,1001829.541887159
2018-03-02,960606.2665977656
2018-03-05,939451.166165488
2018-03-06,1019768.4222790536
2018-03-07,1008991.7783348636
2018-03-08,1010281.4525356734
2018-03-09,998106.9599867512
2018-03-12,1008421.439658697
2018-03-13,1016852.7491696444
2018-03-14,1011494.1358898196
2018-03-15,1025364.8016862052
2018-03-16,987131.9269671732
2018-03-19,1004060.7471272284
2018-03-20,1004948.6587875506
2018-03-21,1004607.086846045
2018-03-22,1008390.1648843816
2018-03-23,977258.6477708692
2018-03-26,991456.6782452768
2018-03-27,1016712.8233587458
2018-03-28,989632.8590142014
2018-03-29,991888.1323349554
2018-04-03,1002848.8981088196
2018-04-04,998217.5631851336
2018-04-06,1015927.5631851336
2018-04-09,1009009.8457491628
2018-04-10,1006383.7736774504
2018-04-11,1009168.7736774504
2018-04-12,1006267.0788720434
2018-04-13,1032335.2939589442
2018-04-16,1003344.9682580766
2018-04-17,1003690.498137014
2018-04-18,1015655.2398379564
2018-04-19,1019486.034933588
2018-04-20,1010773.1256990504
2018-04-23,979947.7235948108
2018-04-24,1005465.9905657618
2018-04-25,993257.1434627598
2018-04-26,1009354.3156236816
2018-04-27,1022570.4106205518
2018-04-30,1031087.2235658636
2018-05-02,1032922.7198338122
2018-05-03,1019452.8489537074
2018-05-04,1007342.414160304
2018-05-07,1016636.2431315453
