date,selected_symbols
2018-01-02,
2018-01-03,
2018-01-04,
2018-01-05,
2018-01-08,
2018-01-09,
2018-01-10,
2018-01-11,
2018-01-12,
2018-01-15,
2018-01-16,
2018-01-17,
2018-01-18,
2018-01-19,
2018-01-22,
2018-01-23,
2018-01-24,
2018-01-25,
2018-01-26,
2018-01-29,
2018-01-30,
2018-01-31,
2018-02-01,
2018-02-02,
2018-02-05,
2018-02-06,
2018-02-07,
2018-02-08,
2018-02-09,
2018-02-12,
2018-02-13,
2018-02-14,"00215,01368,02866,06865"
2018-02-15,"00215,01368,02866,06865"
2018-02-20,"00215,01368,02866,06865"
2018-02-21,"00215,01368,02866,06865"
2018-02-22,"00215,01368,02866,03382,06865"
2018-02-23,"00215,01368,02866,03382,06865"
2018-02-26,"00215,01368,02866,03382,06865"
2018-02-27,"00215,01368,02866,03382,06865"
2018-02-28,"00215,01368,02866,03382,06865"
2018-03-01,"00215,01368,02866,03382,06865"
2018-03-02,"00215,01368,02866,03382,06865"
2018-03-05,"00215,01368,02866,03382,06865"
2018-03-06,"00215,01368,02866,03382,06865"
2018-03-07,"00215,01368,02866,03382,06865"
2018-03-08,"00215,01368,02866,03382,06865"
2018-03-09,"00517,00978,01368,02380,03382,06865"
2018-03-12,"00517,00978,01368,02255,02380,03382"
2018-03-13,"00517,00978,02255,02380,03382"
2018-03-14,"00517,00978,02255,02380,03382"
2018-03-15,"00517,00978,02255,02380,03382"
2018-03-16,"00517,00978,02255,02380,03382"
2018-03-19,"00517,00978,02255,02380,03382"
2018-03-20,"00517,00978,02255,02380,03382"
2018-03-21,"00517,00978,02255,02380,03382"
2018-03-22,"00517,00978,02255,02380,03382"
2018-03-23,"00517,00978,02255,02380,03382"
2018-03-26,"00517,00978,02255,02380,03382"
2018-03-27,"00517,00978,02255,02380,03382"
2018-03-28,"00517,00978,02255,02380,03382"
2018-03-29,"00517,00978,02255,02380,03382"
2018-04-03,"00517,00978,01071,02233,02255,02380,03382"
2018-04-04,"00517,00978,01071,02233,02380,02866,03382"
2018-04-06,"00517,00978,01071,02233,02380,02866,03382"
2018-04-09,"00517,00978,01071,02233,02380,02866"
2018-04-10,"00517,00978,01071,02233,02380,02866"
2018-04-11,"00517,00978,01071,02233,02380,02866"
2018-04-12,"00517,00978,01071,02233,02380,02866"
2018-04-13,"00517,00978,01071,02233,02380,02866"
2018-04-16,"00978,01071,02233,02380,02866"
2018-04-17,"00978,01071,02233,02380,02866"
2018-04-18,"00978,01071,02233,02380,02866"
2018-04-19,"00978,01071,02233,02380,02866"
2018-04-20,"00978,01071,02233,02380,02866"
2018-04-23,"00978,01071,02233,02380,02866"
2018-04-24,"00978,01071,02233,02380,02866"
2018-04-25,"00215,02233,02380,02866"
2018-04-26,"00215,02233,02380,02866"
2018-04-27,"00215,02233,02380,02866"
2018-04-30,"00215,02233,02380,02866,03368"
2018-05-02,"00215,02233,02380,02866,03368"
2018-05-03,"00215,02233,02380,02866,03368"
2018-05-04,"00215,02233,02380,02866,03368"
2018-05-07,"00215,02233,02380,02866,03368"
2018-05-08,"00215,02233,02380,02866,03368"
2018-05-09,"00215,02233,02380,02866,03368"
2018-05-10,"00215,02233,02380,02866,03368"
2018-05-11,"00215,02233,02380,02866,03368"
2018-05-14,"00215,02233,02380,02866,03368"
2018-05-15,"00215,02233,02380,02866,03368"
2018-05-16,"00215,02233,02380,02866,03368"
2018-05-17,"00215,00992,01898,02380,02866,03368"
2018-05-18,"00517,00992,01898,02380,02866,03368"
2018-05-21,"00517,00992,01898,02380,02866"
2018-05-23,"00517,00992,01898,02380,02866"
2018-05-24,"00517,00992,01898,02380,02866"
2018-05-25,"00517,00992,01898,02380,02866"
2018-05-28,"00517,00992,01898,02380,02866"
2018-05-29,"00517,00992,01898,02380,02866"
2018-05-30,"00517,00992,01898,02380,02866"
2018-05-31,"00517,00992,01898,02380,02866"
2018-06-01,"00517,00992,01898,02380,02866"
2018-06-04,"00517,00992,01898,02380,02866"
2018-06-05,"00517,00992,01898,02380,02866"
