date,symbol,side,shares,price,notional,fees,slippage_rate
2018-02-14,215,buy,116000,1.723999061166429,199983.8910953058,400.3871128762446,0.0023250355618776
2018-02-14,1368,buy,141500,1.4163939939406158,200419.75014259716,401.78580011407774,0.004534747475614
2018-02-14,2866,buy,212500,0.9431637533394374,200422.29758463043,401.7878380677044,0.0033656950419546
2018-02-14,6865,buy,179500,0.9044921228118922,162356.33604473463,328.4950688357877,0.0049912475687691
2018-02-15,215,sell,2500,1.7473287666062802,4368.321916515701,50.56,0.0015264190821256
2018-02-15,2866,sell,3000,0.9485408273381294,2845.622482014388,48.35999999999999,0.0015359712230215
2018-02-15,6865,buy,32500,0.9437887541713014,30673.13451056729,79.9,0.0040305895439377
2018-02-20,215,sell,1500,1.777323490526609,2665.985235789913,48.33,0.0015036570075229
2018-02-20,2866,sell,1500,0.958550969158062,1437.826453737093,47.18,0.0015094071270186
2018-02-20,6865,buy,7500,0.9117546818923328,6838.160114192496,52.87,0.0019282218597063
2018-02-21,215,buy,1000,1.832753359436179,1832.7533594361787,47.23,0.0015045679979117
2018-02-21,2866,buy,7500,0.9614983367093004,7211.237525319752,53.90999999999999,0.0015607674055211
2018-02-21,6865,sell,16500,1.01715515625,16783.060078125,64.13000000000001,0.0027890625
2018-02-22,215,sell,1000,1.8372361678072,1837.2361678072,47.23,0.0015020827134781
2018-02-22,1368,buy,6500,1.3928260076157002,9053.369049502053,56.14,0.0020330990041007
2018-02-22,2866,sell,3000,0.9685109603622872,2905.532881086862,48.35999999999999,0.001535092410013
2018-02-22,3382,buy,100500,0.8240971471172962,82821.76328528827,174.77741062823063,0.0049965208747514
2018-02-23,215,sell,3000,1.8971326493284029,5691.397947985209,51.72,0.0015091319324195
2018-02-23,1368,buy,4500,1.3622898687664045,6130.3044094488205,52.79,0.0016837270341207
2018-02-23,2866,sell,3000,0.9884844534458908,2965.453360337672,48.37,0.0015308551051608
2018-02-23,3382,buy,152500,0.8240410147719974,125666.2547527296,257.4930038021837,0.0049280667951188
2018-02-23,6865,buy,4500,1.0016625386996905,4507.481424148607,50.56999999999999,0.0016625386996904
2018-02-26,215,buy,4000,1.8728186750172373,7491.27470006895,53.940000000000005,0.0015073128434424
2018-02-26,1368,buy,1000,1.3821163897623654,1382.116389762365,47.18,0.0015336157698299
2018-02-26,2866,buy,4500,0.9915149831263792,4461.817424068707,50.56999999999999,0.0015302859862415
2018-02-26,3382,buy,2500,0.8312807208554708,2078.201802138677,48.27,0.001543037175266
