date,q1,q2,q3,q4,q5
2018-01-02,,,,,
2018-01-03,,,,,
2018-01-04,,,,,
2018-01-05,,,,,
2018-01-08,,,,,
2018-01-09,,,,,
2018-01-10,,,,,
2018-01-11,,,,,
2018-01-12,,,,,
2018-01-15,,,,,
2018-01-16,,,,,
2018-01-17,,,,,
2018-01-18,,,,,
2018-01-19,,,,,
2018-01-22,,,,,
2018-01-23,,,,,
2018-01-24,,,,,
2018-01-25,,,,,
2018-01-26,,,,,
2018-01-29,-0.031030725403950545,-0.021156958069733837,-0.03328542211481236,-0.039451368800072814,-0.03964149631856251
2018-01-30,-0.08101836095880818,-0.07495699934785026,-0.08143012765376349,-0.09031913920693828,-0.10977600369452413
2018-01-31,-0.09075168403598562,-0.08165506715240414,-0.078809312988534,-0.10267847042856885,-0.1408524664272212
2018-02-01,-0.07213537283921953,-0.07478788962947489,-0.07070792457801575,-0.08683699067610019,-0.12492516256829356
2018-02-02,-0.13765776401881824,-0.10985418977864131,-0.11986449407749986,-0.127671905206412,-0.18539225900810286
2018-02-05,-0.10269008704875596,-0.09593823531609784,-0.09939791876303045,-0.09611725698260856,-0.1508336371554278
2018-02-06,-0.002969809275839952,-0.012663011796411577,-0.028592871655599653,-0.027508745871842995,-0.02676817873861497
2018-02-07,0.04299256351012517,0.014623071894563654,-0.008408646553051055,-0.003580430684761078,0.016078086510092612
2018-02-08,0.0642236150686046,0.025138689457249765,0.007623317423979399,0.0179405631068312,0.035905352783647315
2018-02-09,0.18952724750518166,0.09576697570344479,0.07857052703610615,0.06862384729356845,0.06719466312337553
2018-02-12,0.17262698191349707,0.09249302254697643,0.08291400923452823,0.0628873165167686,0.06976080784905232
2018-02-13,0.09475520514810756,0.06623999624446783,0.058884371527359966,0.04035055321322982,0.059781485015764725
2018-02-14,0.09789184626168275,0.061653631919051835,0.048570999040234104,0.03495287597311892,0.05446486712338447
2018-02-15,0.07059337030415967,0.05102231182492268,0.03170346679549478,0.02315881786837,0.0440601995398383
2018-02-20,0.044509963237414324,0.024314761217577224,0.01302657656807167,0.012102306907532763,0.012984371360850436
2018-02-21,0.02311351311702816,0.007012125430301652,-0.006174807815653024,-0.006889371918453486,0.0004935022523315861
2018-02-22,0.028738448961896104,0.01227574057750421,0.01876703473786388,0.0057272523439439145,0.026887998884699376
2018-02-23,-0.01256488942042469,-0.015780994259807803,-0.013147248115892947,-0.020025528529904527,0.0023971343933849296
2018-02-26,-0.0258286133503582,-0.04247455945141245,-0.03876630632513422,-0.036820648913346875,-0.048561370706291206
2018-02-27,0.00864405422713355,-0.008164005064156406,-0.004794233265903491,-0.0015967025485944318,-0.01294587551224191
2018-02-28,-0.0007642619583635707,-0.0017077159697874843,-0.011664341411765323,-0.010410177486308524,-0.023427754502634023
2018-03-01,0.00017338335155338204,0.003062636891931412,-0.009400608243773595,-0.00770721225352544,-0.008628146597533734
2018-03-02,0.02715995189125244,0.029237143060645714,0.012359983014286237,0.013504724245392988,0.013928829713319773
2018-03-05,0.07945413334800194,0.059324286031711956,0.04413794042687551,0.0445656054537128,0.05077272846121422
2018-03-06,0.03499560094838327,0.02189358801413619,0.030998480061711985,0.029792430901001483,0.03281891603214627
2018-03-07,0.05670154276165784,0.03697014507326815,0.018995038499664687,0.04058701662930822,0.04255993375841793
2018-03-08,0.03599999606014387,0.021294550319994866,0.0168823974314964,0.03785262586869882,0.03473763334192831
2018-03-09,0.02232412994089736,0.005394764675490025,0.029960383811388356,0.012167499428060469,0.028131823123359344
2018-03-12,0.0004447291404840378,-0.009025569928547828,-0.0019235856822135587,-0.0011507892401407286,0.01618072789257523
2018-03-13,-0.004773322391950372,-0.009966297980484007,0.008548216399560401,-0.004382031592558869,0.023693875717233838
2018-03-14,-0.011825637228349855,-0.004023170934281021,-0.009206229597057672,-0.004228063955416027,-0.0007020119059206266
2018-03-15,-0.0234415461668324,-0.019502677168751432,-0.014244370448819325,-0.023218839546388502,-0.018461312297132916
