timetag,open,high,low,close,volumn,amount,open_ineterst
20250415,181.0,222.0,181.0,205.0,10825216.0,2030243967.00,15.00
20250416,200.0,204.6,178.8,187.2,2267005.0,429004406.00,15.00
20250417,182.4,204.4,182.4,200.0,910214.0,179488408.00,15.00
20250422,205.6,234.6,205.6,219.6,1316640.0,291364928.00,15.00
20250423,231.0,233.8,212.8,218.6,699640.0,155318285.00,15.00
20250424,216.0,229.6,210.0,225.0,553385.0,121819022.00,15.00
20250425,224.4,229.6,206.0,207.4,727500.0,158188091.00,15.00
20250428,193.8,218.2,191.0,216.6,755681.0,155690845.00,15.00
20250429,216.6,221.6,211.2,214.4,411122.0,88005550.00,15.00
20250430,216.0,218.8,206.8,207.4,237685.0,49905064.00,15.00
20250502,207.4,219.6,202.4,215.6,215800.0,46419870.00,15.00
20250506,210.6,216.2,207.4,213.4,282000.0,59562240.00,15.00
20250507,213.2,215.6,194.2,201.0,678700.0,137243320.00,15.00
20250508,204.6,205.0,196.6,201.0,220600.0,44026659.00,15.00
20250509,200.0,204.0,198.8,199.1,185000.0,37011380.00,15.00
20250512,190.8,190.8,165.5,187.0,1509688.0,267768368.00,15.00
20250513,190.0,193.9,175.5,176.5,485828.0,89388261.00,15.00
20250514,176.5,188.0,168.5,186.1,237758.0,42376090.00,15.00
20250515,180.1,194.6,180.0,185.0,186100.0,34753569.00,15.00
20250516,185.4,195.0,185.4,194.4,257940.0,49565180.00,15.00
20250519,194.4,194.4,186.8,190.5,168000.0,31837925.00,15.00
20250520,195.6,205.0,194.0,200.0,435440.0,87134166.00,15.00
20250521,200.0,205.0,195.0,195.0,245053.0,48735325.00,15.00
20250522,195.0,210.0,193.9,206.2,302240.0,61225294.00,15.00
20250523,210.0,221.0,204.2,213.8,931510.0,198638571.00,15.00
20250526,213.8,216.0,198.6,198.7,332877.0,68067690.00,15.00
20250527,198.7,204.0,198.1,202.0,152317.0,30511435.00,15.00
20250528,199.8,211.6,197.9,207.0,287981.0,59259184.00,15.00
20250529,207.0,215.0,206.2,210.2,176243.0,36999421.00,15.00
20250530,209.6,216.0,208.0,211.0,383224.0,80868502.00,15.00
20250602,209.8,209.8,188.1,195.0,470688.0,91915025.00,15.00
20250603,200.4,218.6,200.4,214.8,585605.0,122595152.00,15.00
20250604,213.0,221.4,208.8,217.4,451189.0,96984034.00,15.00
20250605,217.4,219.2,206.4,209.0,392774.0,82675726.00,15.00
20250606,212.2,215.0,207.2,214.4,202275.0,42655937.00,15.00
20250609,214.4,243.2,212.6,240.0,561364.0,130576695.00,15.00
20250610,242.0,280.0,241.4,271.4,996038.0,265282896.00,15.00
20250611,274.2,277.0,260.2,269.4,340417.0,91296796.00,15.00
20250612,269.0,289.8,268.2,280.0,310519.0,86663335.00,15.00
