Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^HSNF,^HSNF,^HSNF,^HSNF,^HSNF,^HSNF
Date,,,,,,
2010-01-04,33998.30078125,33998.30078125,34436.8515625,33786.23828125,34137.1796875,6095600
2010-01-05,34622.23046875,34622.23046875,34652.51171875,34193.55859375,34289.8515625,8977600
2010-01-06,34867.1796875,34867.1796875,35061.30859375,34589.3515625,34719.01953125,11852100
2010-01-07,34553.171875,34553.171875,35029.33984375,34439.91015625,35029.33984375,8386800
2010-01-08,34517.96875,34517.96875,34764.1484375,34380.03125,34590.30859375,9857600
2010-01-11,34564.25,34564.25,35134.2890625,34488.41015625,34910.4609375,10884200
2010-01-12,34154.01953125,34154.01953125,34489.078125,34025.19140625,34336.69140625,15237500
2010-01-13,33189.12890625,33189.12890625,33591.03125,33113.05859375,33591.03125,25146700
2010-01-14,33054.7890625,33054.7890625,33554.140625,33041.6796875,33317.19921875,16169300
2010-01-15,33043.1015625,33043.1015625,33283.671875,32952.12890625,33133.890625,18011100
2010-01-18,32909.7890625,32909.7890625,33180.2109375,32525.619140625,32624.009765625,13146500
2010-01-19,33407.890625,33407.890625,33408.44140625,32739.470703125,32888.8515625,12720600
2010-01-20,32757.380859375,32757.380859375,33236.76953125,32579.669921875,33145.08984375,14598300
2010-01-21,32176.26953125,32176.26953125,32717.48046875,32120.9296875,32621.830078125,17544900
2010-01-22,32095.5703125,32095.5703125,32125.029296875,31381.55078125,31664.630859375,22491900
2010-01-25,31657.0390625,31657.0390625,31841.390625,31484.369140625,31664.630859375,13607600
2010-01-26,30935.80078125,30935.80078125,31626.380859375,30796.16015625,31580.0,15038000
2010-01-27,30882.75,30882.75,31355.5703125,30711.0703125,31080.26953125,11569100
2010-01-28,31510.9609375,31510.9609375,31614.33984375,31130.94921875,31175.220703125,13017000
2010-01-29,31091.58984375,31091.58984375,31421.630859375,30742.140625,30886.0703125,11328000
2010-02-01,31292.630859375,31292.630859375,31328.900390625,30736.9609375,30877.259765625,10963800
2010-02-02,31195.30078125,31195.30078125,31737.369140625,31085.0,31594.869140625,9974700
2010-02-03,31772.19921875,31772.19921875,31889.48046875,31177.48046875,31370.150390625,10009900
2010-02-04,31214.369140625,31214.369140625,31483.080078125,31169.41015625,31417.73046875,9607500
2010-02-05,30154.580078125,30154.580078125,30388.880859375,30134.44921875,30141.26953125,15612100
2010-02-08,29809.48046875,29809.48046875,30142.130859375,29661.6796875,30087.029296875,11622900
2010-02-09,30057.2109375,30057.2109375,30176.310546875,29561.439453125,29641.5703125,8860600
2010-02-10,30310.900390625,30310.900390625,30410.48046875,29891.060546875,30227.4296875,9863800
2010-02-11,30846.6796875,30846.6796875,30906.4609375,30587.69921875,30587.69921875,8585900
2010-02-12,30728.359375,30728.359375,30980.830078125,30668.580078125,30727.8203125,7282200
2010-02-17,31173.05078125,31173.05078125,31351.259765625,31026.19921875,31298.419921875,7134700
2010-02-18,31024.390625,31024.390625,31284.05078125,30974.970703125,31195.890625,4318900
2010-02-19,30303.3203125,30303.3203125,30779.76953125,30251.400390625,30779.76953125,8763200
2010-02-22,31039.529296875,31039.529296875,31122.169921875,30928.439453125,31074.310546875,6746900
2010-02-23,31379.0390625,31379.0390625,31587.2109375,30628.2890625,30766.880859375,9649700
2010-02-24,31109.759765625,31109.759765625,31270.919921875,30991.939453125,31024.66015625,9993100
2010-02-25,30999.55078125,30999.55078125,31372.630859375,30786.640625,31177.240234375,14324400
2010-02-26,31276.810546875,31276.810546875,31359.0390625,31211.0703125,31340.240234375,8220100
2010-03-01,32087.6796875,32087.6796875,32087.6796875,31599.369140625,31599.369140625,18859000
2010-03-02,31580.0,31580.0,31667.009765625,31444.080078125,31598.119140625,17079300
2010-03-03,31641.220703125,31641.220703125,31826.8203125,31515.169921875,31766.6796875,11784600
2010-03-04,31072.669921875,31072.669921875,31856.900390625,31050.66015625,31856.900390625,13429600
2010-03-05,31356.75,31356.75,31440.470703125,31072.69921875,31440.470703125,21719800
2010-03-08,31995.119140625,31995.119140625,32119.599609375,31793.44921875,31831.3203125,14263000
2010-03-09,32027.509765625,32027.509765625,32184.5,31869.939453125,31893.25,9210900
2010-03-10,31956.900390625,31956.900390625,32080.359375,31850.23046875,32071.890625,7571300
2010-03-11,31880.2890625,31880.2890625,32138.16015625,31665.169921875,32138.16015625,8842700
2010-03-12,31805.66015625,31805.66015625,31836.060546875,31613.859375,31788.150390625,7454700
2010-03-15,31492.220703125,31492.220703125,31564.419921875,31381.5,31480.3203125,6968400
2010-03-16,31456.419921875,31456.419921875,31645.400390625,31365.060546875,31541.2109375,5863400
2010-03-17,31947.619140625,31947.619140625,32019.859375,31561.779296875,31644.83984375,9893300
2010-03-18,31980.279296875,31980.279296875,32173.76953125,31917.109375,31977.75,8533000
2010-03-19,31996.419921875,31996.419921875,32040.98046875,31827.470703125,31984.830078125,7673000
2010-03-22,31359.359375,31359.359375,31655.220703125,31289.779296875,31655.220703125,10179600
2010-03-23,31395.33984375,31395.33984375,31743.470703125,31356.599609375,31556.4609375,8536900
2010-03-24,31398.689453125,31398.689453125,31726.349609375,31351.80078125,31690.0703125,9126600
2010-03-25,31047.509765625,31047.509765625,31175.689453125,30949.599609375,31126.080078125,9022900
2010-03-26,31440.630859375,31440.630859375,31578.189453125,30943.0703125,30943.0703125,11756900
2010-03-29,31705.830078125,31705.830078125,31864.619140625,31518.0390625,31533.970703125,8869500
