Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^HSNU,^HSNU,^HSNU,^HSNU,^HSNU,^HSNU
Date,,,,,,
2011-01-03,42171.21875,42171.21875,42429.12109375,41866.0,41928.359375,10542900
2011-01-04,42141.9296875,42141.9296875,42332.62890625,42122.76171875,42310.73046875,12419400
2011-01-05,42218.1484375,42218.1484375,42228.8203125,41997.30859375,42033.609375,16102600
2011-01-06,42048.1796875,42048.1796875,42277.55078125,41935.0,42277.55078125,20398200
2011-01-07,41889.3203125,41889.3203125,42139.8984375,41861.23828125,42080.58984375,25873500
2011-01-10,41640.51171875,41640.51171875,41986.30078125,41529.28125,41865.05859375,25558700
2011-01-11,41908.3984375,41908.3984375,42058.26953125,41615.609375,41615.609375,17054400
2011-01-12,41989.78125,41989.78125,42063.6484375,41714.66015625,41714.66015625,17206300
2011-01-13,41971.609375,41971.609375,42179.4609375,41872.51171875,41912.44140625,15899800
2011-01-14,41687.75,41687.75,41989.19921875,41615.140625,41926.87109375,18865800
2011-01-17,41713.80859375,41713.80859375,41909.26953125,41567.62109375,41866.23046875,11048000
2011-01-18,41902.46875,41902.46875,41992.921875,41773.859375,41841.8984375,12341300
2011-01-19,42145.83984375,42145.83984375,42183.01171875,41954.5,42059.30078125,17640500
2011-01-20,41872.5,41872.5,42002.1484375,41834.9296875,42002.1484375,18269400
2011-01-21,41742.19921875,41742.19921875,42061.05859375,41707.48046875,41884.19140625,16175900
2011-01-24,41700.171875,41700.171875,41878.48046875,41686.46875,41878.48046875,12387800
2011-01-25,41595.87109375,41595.87109375,41776.91015625,41550.66015625,41685.3203125,12723400
2011-01-26,41518.421875,41518.421875,41886.078125,41518.421875,41655.609375,18312100
2011-01-27,41617.5,41617.5,41785.1015625,41468.01171875,41501.16015625,16612400
2011-01-28,41600.5,41600.5,41752.140625,41444.69140625,41752.140625,12795700
2011-01-31,41322.6796875,41322.6796875,41472.62890625,41256.8515625,41357.8515625,14990000
2011-02-01,41596.5,41596.5,41626.1484375,41225.78125,41404.1796875,16579700
2011-02-02,42052.69140625,42052.69140625,42170.19140625,41834.80859375,41957.7890625,11362700
2011-02-07,41506.96875,41506.96875,42199.0703125,41499.05078125,42199.0703125,16343100
2011-02-08,41520.80078125,41520.80078125,41750.80078125,41314.4609375,41551.609375,15668700
2011-02-09,41244.171875,41244.171875,41506.2890625,41163.25,41471.2890625,24241400
2011-02-10,40935.6484375,40935.6484375,41270.51171875,40737.8984375,41270.51171875,25801800
2011-02-11,40811.1484375,40811.1484375,40952.75,40531.0703125,40796.5,26450000
2011-02-14,40836.23046875,40836.23046875,41009.609375,40611.08984375,40633.69140625,17754900
2011-02-15,40916.3984375,40916.3984375,41011.87890625,40625.1015625,40699.828125,20260900
2011-02-16,41062.69140625,41062.69140625,41106.91015625,40759.1015625,41009.55859375,16270600
2011-02-17,40755.671875,40755.671875,41047.26953125,40552.05078125,41047.26953125,21268700
2011-02-18,41080.7109375,41080.7109375,41132.25,40633.55859375,40703.98046875,15453000
2011-02-21,41665.3203125,41665.3203125,41756.48046875,41103.19140625,41249.51171875,18223200
2011-02-22,41364.41015625,41364.41015625,41476.41015625,41107.171875,41462.62109375,13010000
2011-02-23,41488.98828125,41488.98828125,41554.640625,41355.19921875,41531.30078125,16648000
2011-02-24,41133.01171875,41133.01171875,41619.41015625,41017.078125,41593.23046875,20878900
2011-02-25,41538.80078125,41538.80078125,41681.0703125,41205.12890625,41252.55859375,20644700
2011-02-28,41383.48828125,41383.48828125,41485.55859375,41116.171875,41395.41015625,22326900
2011-03-01,41678.48046875,41678.48046875,41782.6015625,41345.5390625,41476.71875,17894100
2011-03-02,41458.23828125,41458.23828125,41722.19140625,41382.5,41424.3515625,15460000
2011-03-03,41501.578125,41501.578125,41679.140625,41312.25,41551.4296875,13896100
2011-03-04,41615.46875,41615.46875,41817.5390625,41585.2890625,41585.2890625,16038700
2011-03-07,41577.3203125,41577.3203125,41821.421875,41448.26171875,41491.609375,8812700
2011-03-08,42174.23046875,42174.23046875,42469.08984375,41584.44921875,41593.76171875,20032100
2011-03-09,42423.51953125,42423.51953125,42688.75,42291.9296875,42634.3515625,16302900
2011-03-10,42537.3203125,42537.3203125,42590.33984375,42338.5,42550.80859375,13336700
2011-03-11,42092.44921875,42092.44921875,42626.3515625,41964.46875,42399.55859375,14412800
2011-03-14,42332.328125,42332.328125,42420.1015625,41910.33984375,41983.75,11389000
2011-03-15,41278.921875,41278.921875,41842.8515625,40574.3984375,41799.41015625,31695900
2011-03-16,41487.01171875,41487.01171875,41602.44921875,41314.91015625,41445.05859375,29990300
2011-03-17,41323.48046875,41323.48046875,41389.98828125,40827.109375,41080.19140625,30987900
2011-03-18,40912.6015625,40912.6015625,41391.19140625,40855.44921875,41307.05859375,37439900
2011-03-21,41451.171875,41451.171875,41530.51171875,41005.5390625,41160.328125,15580000
2011-03-22,41727.37890625,41727.37890625,41762.5,41213.41015625,41418.1015625,17216200
2011-03-23,41853.4296875,41853.4296875,41891.30078125,41459.421875,41593.9296875,21248700
2011-03-24,41817.75,41817.75,42000.6796875,41739.94921875,41883.26171875,29780300
2011-03-25,42033.78125,42033.78125,42085.4296875,41933.5,41940.26171875,21062600
2011-03-28,42356.140625,42356.140625,42430.58984375,41951.5,41956.2890625,21941700
2011-03-29,42327.359375,42327.359375,42372.55859375,42070.71875,42249.30078125,19632800
2011-03-30,42864.69921875,42864.69921875,42933.46875,42280.98828125,42425.08984375,26733900
2011-03-31,42761.1015625,42761.1015625,43003.8203125,42626.37109375,42650.73046875,15673200
2011-04-01,42985.12890625,42985.12890625,43156.3515625,42826.44140625,43092.55859375,14575600
2011-04-04,43233.828125,43233.828125,43261.91015625,42942.9609375,43111.51953125,19121800
2011-04-06,43408.3515625,43408.3515625,43469.0,43055.859375,43089.12109375,21759500
2011-04-07,43295.6015625,43295.6015625,43512.23046875,43078.7890625,43330.5703125,17830400
2011-04-08,43302.73046875,43302.73046875,43381.19921875,42957.578125,43171.94140625,19525200
2011-04-11,43116.421875,43116.421875,43184.8203125,42939.8203125,43006.98046875,19051200
2011-04-12,43095.640625,43095.640625,43163.4296875,42979.01953125,43074.51953125,31002000
2011-04-13,43401.26953125,43401.26953125,43460.55078125,43273.78125,43403.8203125,22818600
2011-04-14,43310.6796875,43310.6796875,43377.01953125,43129.19140625,43219.08984375,15542600
2011-04-15,43218.0,43218.0,43644.421875,43112.94140625,43574.078125,12993800
2011-04-18,43574.421875,43574.421875,43687.73046875,43111.4609375,43434.109375,13339400
2011-04-19,43257.12890625,43257.12890625,43341.5703125,43132.28125,43279.23828125,13488800
2011-04-20,43196.2890625,43196.2890625,43209.1015625,42922.921875,43042.5703125,15474700
2011-04-21,43509.94921875,43509.94921875,43564.25,43132.19921875,43195.23046875,8083900
2011-04-26,43264.37109375,43264.37109375,43443.921875,43106.359375,43314.55078125,12246000
2011-04-27,43417.109375,43417.109375,43725.08984375,43336.6796875,43480.80078125,11760400
2011-04-28,43526.76171875,43526.76171875,43706.5,43333.44921875,43623.23046875,17624300
2011-04-29,43698.7890625,43698.7890625,43737.5390625,43366.8984375,43493.3203125,13688400
2011-05-03,44111.73828125,44111.73828125,44261.6484375,43820.359375,43908.08984375,35780800
2011-05-04,44130.66015625,44130.66015625,44212.359375,43855.23046875,44089.76953125,43869400
2011-05-05,44303.83984375,44303.83984375,44310.08984375,43982.921875,44310.08984375,34960900
2011-05-06,43624.05859375,43624.05859375,43857.41015625,43513.8984375,43840.2890625,31066500
2011-05-09,44050.55859375,44050.55859375,44075.30078125,43663.1796875,43748.30078125,18252300
2011-05-11,43871.37890625,43871.37890625,44044.5703125,43690.390625,43998.08984375,24412400
2011-05-12,43500.8515625,43500.8515625,43847.51171875,43473.73828125,43825.0,14525600
2011-05-13,44345.4296875,44345.4296875,44371.94140625,43460.16015625,43858.828125,18525900
2011-05-16,44052.75,44052.75,44430.94140625,43974.6796875,44371.859375,10557500
2011-05-17,44175.1796875,44175.1796875,44212.44921875,43842.19921875,43920.671875,15341800
2011-05-18,44212.3203125,44212.3203125,44291.87890625,44046.9609375,44282.3984375,11020000
2011-05-19,44375.640625,44375.640625,44388.171875,43925.1796875,44275.83984375,16717800
2011-05-20,44256.5390625,44256.5390625,44373.28125,44060.37109375,44349.80859375,16499000
2011-05-23,43533.37109375,43533.37109375,43710.87890625,43448.80859375,43604.28125,21858600
2011-05-24,43797.48828125,43797.48828125,43850.609375,43552.83984375,43619.69140625,12954500
2011-05-25,44111.96875,44111.96875,44172.33984375,43438.23046875,43497.12109375,13866000
2011-05-26,44210.7109375,44210.7109375,44334.1015625,44073.19921875,44250.1796875,12945300
2011-05-27,44526.2109375,44526.2109375,44526.2109375,44011.80078125,44264.33984375,16056100
2011-05-30,44557.91015625,44557.91015625,44628.33984375,44402.51171875,44556.12109375,11081500
2011-05-31,45255.890625,45255.890625,45419.921875,44774.578125,44842.390625,33578200
2011-06-01,45411.12890625,45411.12890625,45496.828125,45032.9609375,45201.2109375,21129500
2011-06-02,44933.828125,44933.828125,45280.5,44925.53125,45280.5,16052000
2011-06-03,44158.19140625,44158.19140625,45077.05859375,44128.859375,44950.30859375,23267900
2011-06-07,44554.26171875,44554.26171875,44848.4609375,44263.6484375,44657.8515625,20723500
2011-06-08,44201.109375,44201.109375,44552.87890625,44127.19921875,44552.87890625,16809000
2011-06-09,44337.91015625,44337.91015625,44418.578125,43814.140625,44281.51953125,15858900
2011-06-10,44067.33984375,44067.33984375,44274.30859375,43814.12109375,44227.078125,12601700
2011-06-13,44307.58984375,44307.58984375,44339.05859375,43881.76953125,43972.9296875,7766300
2011-06-14,44494.51953125,44494.51953125,44782.578125,44035.46875,44151.37109375,11702500
2011-06-15,44995.890625,44995.890625,45215.12109375,44598.51171875,44826.109375,18739600
2011-06-16,44726.8203125,44726.8203125,45182.78125,44641.890625,44697.28125,22266600
2011-06-17,44149.4609375,44149.4609375,44847.69921875,44126.26953125,44717.05078125,21512600
2011-06-20,44161.7109375,44161.7109375,44246.4609375,43764.390625,44176.8984375,15886300
2011-06-21,44871.19921875,44871.19921875,44941.19140625,44073.16015625,44214.359375,21901400
2011-06-22,44835.578125,44835.578125,44880.359375,44563.921875,44880.359375,15359500
2011-06-23,44807.87109375,44807.87109375,44940.8203125,44500.48046875,44754.01171875,13309400
2011-06-24,45208.28125,45208.28125,45258.671875,44861.109375,44970.4296875,24035800
2011-06-27,45555.828125,45555.828125,45620.19140625,44875.41015625,44907.44140625,23001500
2011-06-28,45691.4296875,45691.4296875,45716.98046875,45389.109375,45650.30078125,13804900
2011-06-29,45534.3984375,45534.3984375,45745.55078125,45478.6015625,45628.7890625,13261900
2011-06-30,46286.109375,46286.109375,46446.83984375,45542.01171875,45542.01171875,16453300
2011-07-04,46223.48828125,46223.48828125,46596.44140625,46010.1015625,46351.62109375,21610500
2011-07-05,45988.5703125,45988.5703125,46357.69921875,45874.8984375,46205.23828125,16575600
2011-07-06,46114.94921875,46114.94921875,46308.859375,45883.53125,45910.98046875,18083000
2011-07-07,45861.08984375,45861.08984375,46149.12109375,45784.71875,45966.109375,18483500
2011-07-08,46400.96875,46400.96875,46603.3515625,46014.30859375,46014.30859375,18444500
2011-07-11,46207.2109375,46207.2109375,46630.23046875,46150.328125,46412.28125,10386600
2011-07-12,45662.8515625,45662.8515625,46151.359375,45589.51953125,46000.96875,17889100
2011-07-13,46052.55078125,46052.55078125,46109.66015625,45245.46875,45791.87109375,15884800
2011-07-14,45923.05078125,45923.05078125,46082.78125,45667.9609375,46082.78125,21526000
2011-07-15,46218.41015625,46218.41015625,46345.25,45818.078125,45973.4296875,18860000
2011-07-18,46113.46875,46113.46875,46465.7109375,45854.30859375,45854.30859375,13541000
2011-07-19,46758.12109375,46758.12109375,46787.7890625,45992.421875,46050.58984375,18182800
2011-07-20,47021.03125,47021.03125,47086.66015625,46663.23046875,47048.69140625,13175500
2011-07-21,46855.33984375,46855.33984375,47036.51171875,46761.26171875,46946.8203125,9079100
2011-07-22,47246.171875,47246.171875,47307.2109375,46876.76171875,46984.5703125,12856400
2011-07-25,47064.640625,47064.640625,47198.58984375,46943.94140625,46978.94140625,9982500
2011-07-26,47619.98828125,47619.98828125,47652.359375,46905.359375,46962.78125,12713600
2011-07-27,47747.9609375,47747.9609375,47775.73046875,47238.75,47238.75,9856000
2011-07-28,48500.44140625,48500.44140625,48529.109375,47485.890625,47485.890625,19057500
2011-07-29,49178.21875,49178.21875,49286.05859375,48095.1484375,48618.7109375,34509200
2011-08-01,48741.76953125,48741.76953125,49317.80859375,48570.62109375,49185.37890625,24146100
2011-08-02,48455.76953125,48455.76953125,49061.859375,48366.6484375,48426.48046875,18313400
2011-08-03,47648.87109375,47648.87109375,48226.96875,47614.109375,48177.171875,22676200
