date,strategy_return,benchmark_return,year,month
2018-01-31,0.0,0.0777301276594053,2018,1
2018-02-28,-0.0455426445023549,-0.0621075831845546,2018,2
2018-03-31,0.0392168142680344,-0.0243587825281839,2018,3
2018-04-30,0.0395196695605504,0.0237616492050685,2018,4
2018-05-31,0.0381015907976571,-0.0110323200451173,2018,5
2018-06-30,-0.1474075620369641,-0.0496725524511276,2018,6
2018-07-31,0.0772127356366945,-0.0128509136179004,2018,7
2018-08-31,-0.0785809977819759,-0.0242962161812004,2018,8
2018-09-30,0.0368459907044231,-0.0035868213728502,2018,9
2018-10-31,-0.0333911765667795,-0.1010787953264752,2018,10
2018-11-30,0.0352512419484587,0.0611320869196778,2018,11
2018-12-31,-0.0859418128450909,-0.0249389601233646,2018,12
2019-01-31,0.1448088927785231,0.0811265141882437,2019,1
2019-02-28,0.0676792821877894,0.0247189660396689,2019,2
2019-03-31,0.0587654702287205,0.0146047240321889,2019,3
2019-04-30,0.1380533577067311,0.0222967191186729,2019,4
2019-05-31,-0.1951593841456791,-0.0942122370041603,2019,5
2019-06-30,0.0622812399509067,0.0610209216953485,2019,6
2019-07-31,0.017947681471002,-0.0267974405872362,2019,7
2019-08-31,-0.1441685824554159,-0.0739087770337769,2019,8
2019-09-30,0.0238046171704413,0.0142873824449389,2019,9
2019-10-31,0.0204756571528186,0.031214270989327,2019,10
2019-11-30,0.0267104202805159,-0.0208212095011989,2019,11
2019-12-31,0.2341328131121101,0.0699622511092599,2019,12
2020-01-31,-0.2270843554295747,-0.0665887118766579,2020,1
2020-02-29,0.0897009049488248,-0.0069434779384641,2020,2
2020-03-31,-0.0553392486125513,-0.0966879455461605,2020,3
2020-04-30,0.2931925222827605,0.0440659324109871,2020,4
2020-05-31,-0.2199065476484023,-0.0682578776586646,2020,5
2020-06-30,0.1057973228428421,0.063833835774314,2020,6
2020-07-31,0.4039163032220825,0.0068841385363915,2020,7
2020-08-31,-0.0678514875400195,0.023650860065566,2020,8
2020-09-30,-0.1778784771587197,-0.0682367452378273,2020,9
2020-10-31,0.1651100780138519,0.0276383365495433,2020,10
2020-11-30,0.0,0.0926714812178139,2020,11
2020-12-31,0.0247034772931018,0.0337733597106459,2020,12
2021-01-31,0.0324761546504952,0.0386535573407009,2021,1
2021-02-28,0.1232140421541398,0.0246254814843462,2021,2
2021-03-31,0.1708956480134857,-0.0207680106063752,2021,3
