date,rolling_60d_trading_cost_hkd
2018-01-02,
2018-01-03,
2018-01-04,
2018-01-05,
2018-01-08,
2018-01-09,
2018-01-10,
2018-01-11,
2018-01-12,
2018-01-15,
2018-01-16,
2018-01-17,
2018-01-18,
2018-01-19,
2018-01-22,
2018-01-23,
2018-01-24,
2018-01-25,
2018-01-26,
2018-01-29,0.0
2018-01-30,0.0
2018-01-31,0.0
2018-02-01,0.0
2018-02-02,0.0
2018-02-05,0.0
2018-02-06,0.0
2018-02-07,0.0
2018-02-08,0.0
2018-02-09,0.0
2018-02-12,0.0
2018-02-13,0.0
2018-02-14,47.8892443716817
2018-02-15,51.85684302708528
2018-02-20,54.6957594086416
2018-02-21,57.85502342553755
2018-02-22,65.31758973672348
2018-02-23,76.01016849524943
2018-02-26,80.95832195590076
2018-02-27,85.22349318780073
2018-02-28,90.40090585810572
2018-03-01,93.54332278839581
2018-03-02,98.11038653152926
2018-03-05,102.10037754242391
2018-03-06,105.45400532555064
2018-03-07,108.91488896538188
2018-03-08,110.99413050961272
2018-03-09,156.92177447796746
2018-03-12,171.1846369059144
2018-03-13,176.54449988100157
2018-03-14,175.84500988338152
2018-03-15,175.2174606699819
2018-03-16,178.01122390133588
2018-03-19,178.3615781673484
2018-03-20,178.80377116424935
2018-03-21,179.59788441580847
2018-03-22,180.0041721940976
2018-03-23,181.18427443630642
2018-03-26,179.88195935981838
2018-03-27,180.1837905571096
2018-03-28,180.38189404782443
2018-03-29,183.64139404782443
2018-04-03,209.0164690608397
2018-04-04,215.50383014138086
2018-04-06,215.50383014138086
2018-04-09,224.33572803240412
2018-04-10,225.88972803240412
2018-04-11,225.88972803240412
2018-04-12,229.16772803240414
2018-04-13,237.2727008638966
2018-04-16,243.74483430597945
2018-04-17,247.0045009726461
2018-04-18,251.2010009726461
2018-04-19,255.3211676393128
2018-04-20,258.6380009726461
2018-04-23,262.7386676393128
2018-04-24,267.0848343059795
2018-04-25,289.75632969448725
2018-04-26,293.0134963611539
2018-04-27,296.4209963611539
2018-04-30,302.0193076322723
2018-05-02,305.3531409656056
2018-05-03,311.9580645313465
2018-05-04,316.15389786467983
2018-05-07,320.5198978646798
2018-05-08,322.9167311980132
2018-05-09,326.1945645313465
2018-05-10,329.56689786467985
2018-05-11,332.9755645313465
2018-05-14,336.23223119801315
2018-05-15,339.41606453134654
2018-05-16,342.6378978646798
2018-05-17,342.001896958535
2018-05-18,350.7331695430459
2018-05-21,357.4460761882403
2018-05-23,358.32774285490694
2018-05-24,356.01611934443645
2018-05-25,352.1365692810667
2018-05-28,353.7953417117959
2018-05-29,354.3525774660071
2018-05-30,354.7839720617876
2018-05-31,355.54863872845436
2018-06-01,354.085805395121
2018-06-04,354.3691387284543
2018-06-05,355.267805395121
2018-06-06,354.53107590982177
2018-06-07,354.51224257648835
2018-06-08,347.5905396735846
2018-06-11,337.08788682326093
2018-06-12,332.4792547785079
2018-06-13,331.88158811184115
2018-06-14,331.0940881118412
2018-06-15,328.5798689668347
2018-06-19,333.88797739992077
2018-06-20,337.2948989080772
2018-06-21,336.13573224141055
2018-06-22,335.1410655747439
2018-06-25,334.76573224141055
2018-06-26,339.1498989080772
2018-06-27,343.19610109099267
2018-06-28,344.75443442432606
2018-06-29,347.69876775765937
2018-07-03,352.99962719412605
2018-07-04,354.13737968834835
2018-07-05,358.4242130216817
2018-07-06,353.5821484639918
2018-07-09,356.31814846399175
2018-07-10,360.30614846399175
2018-07-11,361.13131513065844
2018-07-12,357.0906756324993
2018-07-13,353.2018755237498
2018-07-16,353.87637552374974
2018-07-17,352.9020421904164
2018-07-18,352.0782088570831
2018-07-19,353.0507088570831
2018-07-20,353.54054219041643
2018-07-23,353.38970885708306
2018-07-24,360.9670578602945
2018-07-25,360.48355786029447
2018-07-26,360.50239119362783
2018-07-27,358.23691325584275
2018-07-30,358.1619132558428
2018-07-31,355.0038230234352
2018-08-01,353.24182302343524
2018-08-02,352.2674896901019
2018-08-03,352.42032302343523
2018-08-06,355.0262996901019
2018-08-07,357.25217986440987
