date,rolling_60d_turnover_hkd
2018-01-02,
2018-01-03,
2018-01-04,
2018-01-05,
2018-01-08,
2018-01-09,
2018-01-10,
2018-01-11,
2018-01-12,
2018-01-15,
2018-01-16,
2018-01-17,
2018-01-18,
2018-01-19,
2018-01-22,
2018-01-23,
2018-01-24,
2018-01-25,
2018-01-26,
2018-01-29,0.0
2018-01-30,0.0
2018-01-31,0.0
2018-02-01,0.0
2018-02-02,0.0
2018-02-05,0.0
2018-02-06,0.0
2018-02-07,0.0
2018-02-08,0.0
2018-02-09,0.0
2018-02-12,0.0
2018-02-13,0.0
2018-02-14,23849.446089602126
2018-02-15,24274.828902314104
2018-02-20,23882.686046473085
2018-02-21,23938.239329799024
2018-02-22,25957.11883129584
2018-02-23,29173.4370221973
2018-02-26,29244.635277369034
2018-02-27,29970.440454831227
2018-02-28,30663.948393781437
2018-03-01,30732.084467788183
2018-03-02,31195.893811718994
2018-03-05,31328.19774143787
2018-03-06,31090.374583048804
2018-03-07,31925.474547202455
2018-03-08,31670.771747829833
2018-03-09,54360.141193571195
2018-03-12,60274.49865136208
2018-03-13,61693.74831661275
2018-03-14,60551.54777323173
2018-03-15,59495.02071449575
2018-03-16,59682.52537582786
2018-03-19,58792.447541568
2018-03-20,58032.6864452367
2018-03-21,57619.364355908816
2018-03-22,56919.77598731534
2018-03-23,56234.97808135185
2018-03-26,55490.44732299781
2018-03-27,54778.81968719053
2018-03-28,54006.16516829251
2018-03-29,54213.14504636869
2018-04-03,66346.20558528596
2018-04-04,67970.39256751726
2018-04-06,67970.39256751726
2018-04-09,70882.11133856986
2018-04-10,70913.40020896148
2018-04-11,70913.40020896148
2018-04-12,71131.60055643371
2018-04-13,73639.98672507856
2018-04-16,75269.915161595
2018-04-17,75477.37783974661
2018-04-18,75841.94651645361
2018-04-19,76135.20887569475
2018-04-20,76397.0017628506
2018-04-23,76663.46470923309
2018-04-24,77156.83294212958
2018-04-25,87450.29032032723
2018-04-26,87639.33511628378
2018-04-27,87958.60172514031
2018-04-30,90021.6606956501
2018-05-02,90290.95985359968
2018-05-03,92143.54891792289
2018-05-04,92506.47415994099
2018-05-07,93025.03231172575
2018-05-08,93128.7174291246
2018-05-09,93347.65032537591
2018-05-10,93652.27589608189
2018-05-11,93980.20131682536
2018-05-14,94164.99489841308
2018-05-15,94301.79641642101
2018-05-16,94471.82610613041
2018-05-17,93813.0457840372
2018-05-18,97584.75290849074
2018-05-21,100605.28712648412
2018-05-23,100722.46272916156
2018-05-24,99875.20592822328
2018-05-25,98137.29365786715
2018-05-28,99436.45227855114
2018-05-29,99705.14962633389
2018-05-30,100039.62823200318
2018-05-31,100020.9119976512
2018-06-01,99394.7161701303
2018-06-04,99653.25227531952
2018-06-05,100429.46492381422
2018-06-06,99810.31798079968
2018-06-07,99790.99110468286
2018-06-08,96319.76460974071
2018-06-11,91125.18479481709
2018-06-12,89264.20965879194
2018-06-13,89411.48190713172
2018-06-14,89378.08349028896
2018-06-15,88701.26639963702
2018-06-19,91768.36806354857
2018-06-20,93339.36581144221
2018-06-21,93004.86980626725
2018-06-22,92786.73711691289
2018-06-25,93113.59730429822
2018-06-26,94300.62110648183
2018-06-27,96355.01247762004
2018-06-28,97075.32223962454
2018-06-29,98339.71607127418
2018-07-03,100695.91453535484
2018-07-04,101265.89154734906
2018-07-05,101684.93593483703
2018-07-06,98951.50625203711
2018-07-09,99366.65190532716
2018-07-10,99538.01535060046
2018-07-11,99606.81726803033
2018-07-12,97343.10128103403
2018-07-13,95974.66032239863
2018-07-16,95904.2610835603
2018-07-17,95715.68604016076
2018-07-18,95654.17864884241
2018-07-19,95833.4148333256
2018-07-20,96279.40811374338
2018-07-23,96142.86328761144
2018-07-24,100101.800371332
2018-07-25,100361.39702684594
2018-07-26,100383.33733605212
2018-07-27,98579.55963727656
2018-07-30,98511.49508188051
2018-07-31,97027.10883420978
2018-08-01,96800.26836709
2018-08-02,96609.35537045958
2018-08-03,96766.2852010745
2018-08-06,97990.09537616036
2018-08-07,99123.79131502197
