trade_date,available_cash,holding_market_value,stamp_tax,broker_commission,total_assets,nav,transaction_cost,return,nav_peak_to_date,nav_drawdown_to_date
2011-04-21,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,,1.0,0.0
2011-04-22,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-04-25,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-04-26,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-04-27,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-04-28,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-04-29,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-05-03,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-05-04,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-05-05,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-05-06,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-05-09,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-05-10,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-05-11,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-05-12,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-05-13,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-05-16,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-05-17,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-05-18,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-05-19,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-05-20,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-05-23,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-05-24,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-05-25,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-05-26,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-05-27,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-05-30,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-05-31,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-06-01,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-06-02,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-06-03,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-06-07,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-06-08,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-06-09,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-06-10,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-06-13,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
