trade_date,stock_code,target_weight
2011-04-21,sz300046,0.1
2011-04-21,sz300043,0.1
2011-04-21,sz002322,0.1
2011-04-21,sz002353,0.1
2011-04-21,sh600406,0.1
2011-04-21,sz002275,0.1
2011-04-21,sz002278,0.1
2011-04-21,sh600552,0.1
2011-04-21,sz002198,0.1
2011-04-21,sh600737,0.1
2011-04-28,sz002275,0.1
2011-04-28,sz002135,0.1
2011-04-28,sz000650,0.1
2011-04-28,sz002322,0.1
2011-04-28,sz002353,0.1
2011-04-28,sz300046,0.1
2011-04-28,sh600268,0.1
2011-04-28,sz002360,0.1
2011-04-28,sz300043,0.1
2011-04-28,sz002367,0.1
2011-05-06,sz300049,0.1
2011-05-06,sz002353,0.1
2011-05-06,sz002156,0.1
2011-05-06,sz300009,0.1
2011-05-06,sz002367,0.1
2011-05-06,sz002294,0.1
2011-05-06,sz300043,0.1
2011-05-06,sz002365,0.1
2011-05-06,sz300046,0.1
2011-05-06,sz002360,0.1
2011-05-13,sh600268,0.1
2011-05-13,sz002294,0.1
2011-05-13,sz002365,0.1
2011-05-13,sz300047,0.1
2011-05-13,sz002317,0.1
2011-05-13,sz300043,0.1
2011-05-13,sz300012,0.1
2011-05-13,sz300046,0.1
2011-05-13,sz300066,0.1
2011-05-13,sz002296,0.1
2011-05-20,sz002296,0.1
2011-05-20,sz002317,0.1
2011-05-20,sh600268,0.1
2011-05-20,sz002365,0.1
2011-05-20,sz300047,0.1
2011-05-20,sz300004,0.1
2011-05-20,sz300043,0.1
2011-05-20,sz300012,0.1
2011-05-20,sz300066,0.1
2011-05-20,sz300046,0.1
2011-05-27,sz002340,0.1
2011-05-27,sh600993,0.1
2011-05-27,sz300004,0.1
2011-05-27,sz002365,0.1
2011-05-27,sz002337,0.1
2011-05-27,sz300046,0.1
2011-05-27,sz002368,0.1
2011-05-27,sz300012,0.1
2011-05-27,sz300047,0.1
2011-05-27,sz300066,0.1
2011-06-03,sz002311,0.1
2011-06-03,sh600993,0.1
2011-06-03,sz300034,0.1
2011-06-03,sz002337,0.1
2011-06-03,sz002365,0.1
2011-06-03,sz300046,0.1
2011-06-03,sz002390,0.1
2011-06-03,sz002379,0.1
2011-06-03,sz300070,0.1
2011-06-03,sz002368,0.1
2011-06-13,sz002365,0.1
2011-06-13,sz002376,0.1
2011-06-13,sz300046,0.1
2011-06-13,sz002320,0.1
2011-06-13,sz002271,0.1
2011-06-13,sz300066,0.1
2011-06-13,sz002394,0.1
2011-06-13,sz002390,0.1
2011-06-13,sz002368,0.1
2011-06-13,sz002337,0.1
2011-06-20,sz002337,0.1
2011-06-20,sh600993,0.1
2011-06-20,sz002375,0.1
2011-06-20,sz300004,0.1
2011-06-20,sz002365,0.1
2011-06-20,sz002390,0.1
2011-06-20,sz002394,0.1
2011-06-20,sz002320,0.1
2011-06-20,sz002368,0.1
2011-06-20,sz002376,0.1
2011-06-27,sz002311,0.1
2011-06-27,sz002337,0.1
2011-06-27,sz300004,0.1
2011-06-27,sz002320,0.1
2011-06-27,sz002361,0.1
2011-06-27,sz002376,0.1
2011-06-27,sz002365,0.1
2011-06-27,sz002394,0.1
2011-06-27,sz002390,0.1
2011-06-27,sz002368,0.1
2011-07-04,sz002261,0.1
2011-07-04,sz002266,0.1
2011-07-04,sh600087,0.1
2011-07-04,sh600993,0.1
2011-07-04,sz002381,0.1
2011-07-04,sz300004,0.1
2011-07-04,sz002361,0.1
2011-07-04,sz002394,0.1
2011-07-04,sz002376,0.1
2011-07-04,sz002368,0.1
2011-07-11,sz002361,0.1
2011-07-11,sz002394,0.1
2011-07-11,sz002376,0.1
2011-07-11,sz002300,0.1
2011-07-11,sh600087,0.1
2011-07-11,sz300016,0.1
2011-07-11,sh600993,0.1
2011-07-11,sz002261,0.1
2011-07-11,sz002228,0.1
2011-07-11,sh600575,0.1
2011-07-18,sz002228,0.1
2011-07-18,sz000625,0.1
2011-07-18,sz002261,0.1
2011-07-18,sz000591,0.1
2011-07-18,sh600575,0.1
2011-07-18,sz002394,0.1
2011-07-18,sh600087,0.1
2011-07-18,sz002376,0.1
2011-07-18,sz002361,0.1
2011-07-18,sz002406,0.1
2011-07-25,sh600575,0.1
2011-07-25,sz002228,0.1
2011-07-25,sz000625,0.1
2011-07-25,sz300054,0.1
2011-07-25,sz002429,0.1
2011-07-25,sz002300,0.1
2011-07-25,sz002261,0.1
2011-07-25,sh600087,0.1
2011-07-25,sz002394,0.1
2011-07-25,sz002376,0.1
2011-08-01,sz002396,0.1
2011-08-01,sz002376,0.1
2011-08-01,sz000589,0.1
2011-08-01,sh600087,0.1
2011-08-01,sh600887,0.1
2011-08-01,sz000625,0.1
2011-08-01,sz002228,0.1
2011-08-01,sh600575,0.1
2011-08-01,sz002215,0.1
2011-08-01,sz002429,0.1
2011-08-08,sh600755,0.1
2011-08-08,sh600642,0.1
2011-08-08,sz002054,0.1
2011-08-08,sz002429,0.1
2011-08-08,sh600690,0.1
2011-08-08,sz000625,0.1
2011-08-08,sh600415,0.1
2011-08-08,sz000589,0.1
2011-08-08,sz002396,0.1
2011-08-08,sh600087,0.1
2011-08-15,sh600999,0.1
2011-08-15,sh600642,0.1
2011-08-15,sh600690,0.1
2011-08-15,sz000157,0.1
2011-08-15,sz000625,0.1
2011-08-15,sz002208,0.1
2011-08-15,sh600755,0.1
2011-08-15,sz002396,0.1
2011-08-15,sz002429,0.1
2011-08-15,sh600415,0.1
2011-08-22,sh600999,0.1
2011-08-22,sh600150,0.1
2011-08-22,sh600690,0.1
2011-08-22,sz000521,0.1
2011-08-22,sh600629,0.1
2011-08-22,sz000157,0.1
2011-08-22,sz000625,0.1
2011-08-22,sz002138,0.1
2011-08-22,sz002429,0.1
2011-08-22,sh600755,0.1
2011-08-29,sh600629,0.1
2011-08-29,sh600150,0.1
2011-08-29,sz002202,0.1
2011-08-29,sz000521,0.1
2011-08-29,sh600528,0.1
2011-08-29,sz000625,0.1
2011-08-29,sz002138,0.1
2011-08-29,sz000157,0.1
2011-08-29,sz002429,0.1
2011-08-29,sh600690,0.1
2011-09-05,sz002138,0.1
2011-09-05,sh600629,0.1
2011-09-05,sh600528,0.1
2011-09-05,sh600707,0.1
2011-09-05,sz002202,0.1
2011-09-05,sh600690,0.1
2011-09-05,sz000521,0.1
2011-09-05,sz000157,0.1
2011-09-05,sz000537,0.1
2011-09-05,sh600150,0.1
2011-09-13,sz000533,0.1
2011-09-13,sh600703,0.1
2011-09-13,sz002091,0.1
2011-09-13,sh600707,0.1
2011-09-13,sh600415,0.1
2011-09-13,sz002202,0.1
2011-09-13,sh600528,0.1
2011-09-13,sh600150,0.1
2011-09-13,sh600629,0.1
2011-09-13,sz000537,0.1
2011-09-20,sz000533,0.1
2011-09-20,sh600157,0.1
2011-09-20,sz000021,0.1
2011-09-20,sh600359,0.1
2011-09-20,sh600737,0.1
2011-09-20,sz000559,0.1
2011-09-20,sh600415,0.1
2011-09-20,sh600150,0.1
2011-09-20,sz002202,0.1
2011-09-20,sh600707,0.1
2011-09-27,sh600150,0.1
2011-09-27,sz002091,0.1
2011-09-27,sh600415,0.1
2011-09-27,sh600704,0.1
2011-09-27,sh600690,0.1
2011-09-27,sh600268,0.1
2011-09-27,sz300055,0.1
2011-09-27,sz002093,0.1
2011-09-27,sh600308,0.1
2011-09-27,sz000513,0.1
2011-10-11,sz002322,0.1
2011-10-11,sh600150,0.1
2011-10-11,sz002226,0.1
2011-10-11,sz002461,0.1
2011-10-11,sh600690,0.1
2011-10-11,sz002375,0.1
2011-10-11,sh600268,0.1
2011-10-11,sz300055,0.1
2011-10-11,sz002093,0.1
2011-10-11,sz002010,0.1
2011-10-18,sz002226,0.1
2011-10-18,sh600704,0.1
2011-10-18,sh600253,0.1
2011-10-18,sh600460,0.1
2011-10-18,sz002322,0.1
2011-10-18,sz002461,0.1
2011-10-18,sz300055,0.1
2011-10-18,sz002010,0.1
2011-10-18,sz002093,0.1
2011-10-18,sz002334,0.1
2011-10-25,sz000893,0.1
2011-10-25,sh600858,0.1
2011-10-25,sz002010,0.1
2011-10-25,sh600460,0.1
2011-10-25,sh600704,0.1
2011-10-25,sz002271,0.1
2011-10-25,sz002215,0.1
2011-10-25,sz300055,0.1
2011-10-25,sz002093,0.1
2011-10-25,sz002334,0.1
2011-11-01,sz002172,0.1
2011-11-01,sh600629,0.1
2011-11-01,sz002463,0.1
2011-11-01,sh600460,0.1
2011-11-01,sz002003,0.1
2011-11-01,sz002461,0.1
2011-11-01,sz000893,0.1
2011-11-01,sz002322,0.1
2011-11-01,sz002093,0.1
2011-11-01,sz300055,0.1
2011-11-08,sh600253,0.1
2011-11-08,sh600559,0.1
2011-11-08,sz002101,0.1
2011-11-08,sz002226,0.1
2011-11-08,sh600062,0.1
2011-11-08,sz002242,0.1
2011-11-08,sz002003,0.1
2011-11-08,sz002093,0.1
2011-11-08,sz002406,0.1
2011-11-08,sh600970,0.1
2011-11-15,sz002172,0.1
2011-11-15,sz000800,0.1
2011-11-15,sz002101,0.1
2011-11-15,sz000792,0.1
2011-11-15,sz002228,0.1
2011-11-15,sz000893,0.1
2011-11-15,sz000531,0.1
2011-11-15,sh600970,0.1
2011-11-15,sz002003,0.1
2011-11-15,sh600062,0.1
2011-11-22,sz002244,0.1
2011-11-22,sh600970,0.1
2011-11-22,sh600673,0.1
