trade_date,stock_code,target_weight
2018-02-02,sz002780,0.1
2018-02-02,sz000020,0.1
2018-02-02,sh603988,0.1
2018-02-02,sh600379,0.1
2018-02-02,sh603688,0.1
2018-02-02,sz002364,0.1
2018-02-02,sh600962,0.1
2018-02-02,sh600250,0.1
2018-02-02,sz002458,0.1
2018-02-02,sh603223,0.1
2018-02-09,sz002590,0.1
2018-02-09,sz002295,0.1
2018-02-09,sz002731,0.1
2018-02-09,sh600250,0.1
2018-02-09,sz002364,0.1
2018-02-09,sz000020,0.1
2018-02-09,sh603223,0.1
2018-02-09,sz002077,0.1
2018-02-09,sh600962,0.1
2018-02-09,sz000045,0.1
2018-02-23,sz000045,0.1
2018-02-23,sz300110,0.1
2018-02-23,sh600833,0.1
2018-02-23,sh600721,0.1
2018-02-23,sz000985,0.1
2018-02-23,sh600962,0.1
2018-02-23,sz000020,0.1
2018-02-23,sz002731,0.1
2018-02-23,sh603223,0.1
2018-02-23,sz300540,0.1
2018-03-02,sh600517,0.1
2018-03-02,sh600778,0.1
2018-03-02,sz002295,0.1
2018-03-02,sh600962,0.1
2018-03-02,sh603519,0.1
2018-03-02,sz300360,0.1
2018-03-02,sh600721,0.1
2018-03-02,sz000985,0.1
2018-03-02,sz300540,0.1
2018-03-02,sz002731,0.1
2018-03-09,sh600962,0.1
2018-03-09,sz300265,0.1
2018-03-09,sh600573,0.1
2018-03-09,sh600759,0.1
2018-03-09,sz300196,0.1
2018-03-09,sz300403,0.1
2018-03-09,sz000985,0.1
2018-03-09,sz002615,0.1
2018-03-09,sh603223,0.1
2018-03-09,sz002706,0.1
2018-03-16,sz300412,0.1
2018-03-16,sh600517,0.1
2018-03-16,sh600833,0.1
2018-03-16,sz002731,0.1
2018-03-16,sz002346,0.1
2018-03-16,sz002615,0.1
2018-03-16,sz000985,0.1
2018-03-16,sz300403,0.1
2018-03-16,sh600759,0.1
2018-03-16,sh603223,0.1
2018-03-23,sz002077,0.1
2018-03-23,sz300403,0.1
2018-03-23,sz000728,0.1
2018-03-23,sh600339,0.1
2018-03-23,sh600250,0.1
2018-03-23,sz002552,0.1
2018-03-23,sz002673,0.1
2018-03-23,sz300412,0.1
2018-03-23,sz002111,0.1
2018-03-23,sz002615,0.1
2018-03-30,sh603558,0.1
2018-03-30,sh603169,0.1
2018-03-30,sz002344,0.1
2018-03-30,sh600671,0.1
2018-03-30,sz002379,0.1
2018-03-30,sh600339,0.1
2018-03-30,sz002615,0.1
2018-03-30,sz002673,0.1
2018-03-30,sh600173,0.1
2018-03-30,sz000728,0.1
2018-04-10,sz000937,0.1
2018-04-10,sz000959,0.1
2018-04-10,sh600339,0.1
2018-04-10,sh600803,0.1
2018-04-10,sz002379,0.1
2018-04-10,sz000407,0.1
2018-04-10,sh600997,0.1
2018-04-10,sh600671,0.1
2018-04-10,sz002673,0.1
2018-04-10,sh600599,0.1
2018-04-17,sz002588,0.1
2018-04-17,sh600163,0.1
2018-04-17,sz000959,0.1
2018-04-17,sz000096,0.1
2018-04-17,sz002033,0.1
2018-04-17,sz002545,0.1
2018-04-17,sh600012,0.1
2018-04-17,sh600157,0.1
2018-04-17,sh603558,0.1
2018-04-17,sz002558,0.1
2018-04-24,sz000096,0.1
2018-04-24,sh603558,0.1
2018-04-24,sz000612,0.1
2018-04-24,sh600469,0.1
2018-04-24,sh600012,0.1
2018-04-24,sh600157,0.1
2018-04-24,sz002572,0.1
2018-04-24,sz002558,0.1
2018-04-24,sh600983,0.1
2018-04-24,sz002014,0.1
2018-05-03,sz002745,0.1
