"Date","OrderTime","AssetType","Security","TradeSide","OrderType","FilledQuantity","FilledPrice","FilledAmount","OrderQuantity","OrderPrice","RealizedPnL","Commission","Status","LastUpdatedAt"
"2011-01-04","09:30:00","Equity","002028.XSHE","Buy","MarketOrder","700 shares","26.24","18368","700 shares","-","0","8.27","Filled","2011-01-04 09:30:00"
"2011-01-04","09:30:00","Equity","601898.XSHG","Buy","MarketOrder","1800 shares","11.11","19998","1800 shares","-","0","9","Filled","2011-01-04 09:30:00"
"2011-01-04","09:30:00","Equity","600395.XSHG","Buy","MarketOrder","500 shares","34.5","17250","500 shares","-","0","7.76","Filled","2011-01-04 09:30:00"
"2011-01-04","09:30:00","Equity","601699.XSHG","Buy","MarketOrder","300 shares","61.42","18426","300 shares","-","0","8.29","Filled","2011-01-04 09:30:00"
"2011-01-04","09:30:00","Equity","000937.XSHE","Buy","MarketOrder","400 shares","42.2","16880","400 shares","-","0","7.6","Filled","2011-01-04 09:30:00"
"2011-01-11","09:30:00","Equity","000937.XSHE","Sell","MarketOrder","-200 shares","39.68","-7936","-200 shares","-","-504","12.94","Filled","2011-01-11 09:30:00"
"2011-01-13","09:30:00","Equity","000937.XSHE","Sell","MarketOrder","-100 shares","40","-4000","-100 shares","-","-220","9","Filled","2011-01-13 09:30:00"
"2011-01-14","09:30:00","Equity","600395.XSHG","Sell","MarketOrder","-200 shares","32.73","-6546","-200 shares","-","-354","11.55","Filled","2011-01-14 09:30:00"
"2011-01-14","09:30:00","Equity","601699.XSHG","Sell","MarketOrder","-100 shares","57.3","-5730","-100 shares","-","-412","10.73","Filled","2011-01-14 09:30:00"
"2011-01-17","09:30:00","Equity","002028.XSHE","Sell","MarketOrder","-300 shares","24.5","-7350","-300 shares","-","-522","12.35","Filled","2011-01-17 09:30:00"
"2011-01-17","09:30:00","Equity","601898.XSHG","Sell","MarketOrder","-900 shares","10.51","-9459","-900 shares","-","-540","14.46","Filled","2011-01-17 09:30:00"
"2011-01-17","09:30:00","Equity","600395.XSHG","Sell","MarketOrder","-300 shares","29.98","-8994","-300 shares","-","-1356","13.99","Filled","2011-01-17 09:30:00"
"2011-01-17","09:30:00","Equity","601699.XSHG","Sell","MarketOrder","-200 shares","53.65","-10730","-200 shares","-","-1554","15.73","Filled","2011-01-17 09:30:00"
"2011-01-17","09:30:00","Equity","000937.XSHE","Sell","MarketOrder","-100 shares","36.55","-3655","-100 shares","-","-565","8.65","Filled","2011-01-17 09:30:00"
"2011-01-17","09:30:00","Equity","002028.XSHE","Sell","MarketOrder","-200 shares","24.5","-4900","-200 shares","-","-348","9.9","Filled","2011-01-17 09:30:00"
"2011-01-17","09:30:00","Equity","601898.XSHG","Sell","MarketOrder","-600 shares","10.51","-6306","-600 shares","-","-360","11.31","Filled","2011-01-17 09:30:00"
"2011-01-18","09:30:00","Equity","002028.XSHE","Sell","MarketOrder","-200 shares","24.21","-4842","-200 shares","-","-406","9.84","Filled","2011-01-18 09:30:00"
"2011-01-18","09:30:00","Equity","601898.XSHG","Sell","MarketOrder","-300 shares","10.16","-3048","-300 shares","-","-285","8.05","Filled","2011-01-18 09:30:00"
"2011-02-01","09:30:00","Equity","600018.XSHG","Buy","MarketOrder","4300 shares","4.26","18318","4300 shares","-","0","8.24","Filled","2011-02-01 09:30:00"
"2011-02-01","09:30:00","Equity","601333.XSHG","Buy","MarketOrder","4900 shares","3.73","18277","4900 shares","-","0","8.22","Filled","2011-02-01 09:30:00"
"2011-02-01","09:30:00","Equity","600660.XSHG","Buy","MarketOrder","1600 shares","11.32","18112","1600 shares","-","0","8.15","Filled","2011-02-01 09:30:00"
"2011-02-01","09:30:00","Equity","601857.XSHG","Buy","MarketOrder","1600 shares","11.49","18384","1600 shares","-","0","8.27","Filled","2011-02-01 09:30:00"
"2011-02-01","09:30:00","Equity","600380.XSHG","Buy","MarketOrder","1500 shares","11.81","17715","1500 shares","-","0","7.97","Filled","2011-02-01 09:30:00"
"2011-02-09","09:30:00","Equity","600018.XSHG","Sell","MarketOrder","-3000 shares","4.27","-12810","-3000 shares","-","30","18.57","Filled","2011-02-09 09:30:00"
"2011-02-09","09:30:00","Equity","601333.XSHG","Sell","MarketOrder","-3400 shares","3.67","-12478","-3400 shares","-","-204","18.09","Filled","2011-02-09 09:30:00"
"2011-02-09","09:30:00","Equity","600660.XSHG","Sell","MarketOrder","-1100 shares","11.1","-12210","-1100 shares","-","-242","17.7","Filled","2011-02-09 09:30:00"
"2011-02-09","09:30:00","Equity","601857.XSHG","Sell","MarketOrder","-1100 shares","11.53","-12683","-1100 shares","-","44","18.39","Filled","2011-02-09 09:30:00"
"2011-02-09","09:30:00","Equity","600380.XSHG","Sell","MarketOrder","-1000 shares","11.62","-11620","-1000 shares","-","-190","16.85","Filled","2011-02-09 09:30:00"
"2011-02-10","09:30:00","Equity","600018.XSHG","Sell","MarketOrder","-900 shares","4.4","-3960","-900 shares","-","126","8.96","Filled","2011-02-10 09:30:00"
"2011-02-10","09:30:00","Equity","601333.XSHG","Sell","MarketOrder","-1000 shares","3.64","-3640","-1000 shares","-","-90","8.64","Filled","2011-02-10 09:30:00"
"2011-02-10","09:30:00","Equity","600660.XSHG","Sell","MarketOrder","-300 shares","11.18","-3354","-300 shares","-","-42","8.35","Filled","2011-02-10 09:30:00"
"2011-02-10","09:30:00","Equity","601857.XSHG","Sell","MarketOrder","-300 shares","11.44","-3432","-300 shares","-","-15","8.43","Filled","2011-02-10 09:30:00"
"2011-02-10","09:30:00","Equity","600380.XSHG","Sell","MarketOrder","-300 shares","11.65","-3495","-300 shares","-","-48","8.5","Filled","2011-02-10 09:30:00"
"2011-02-11","09:30:00","Equity","600018.XSHG","Sell","MarketOrder","-200 shares","4.38","-876","-200 shares","-","24","5.88","Filled","2011-02-11 09:30:00"
"2011-02-11","09:30:00","Equity","601333.XSHG","Sell","MarketOrder","-300 shares","3.66","-1098","-300 shares","-","-21","6.1","Filled","2011-02-11 09:30:00"
"2011-02-22","09:30:00","Equity","600018.XSHG","Sell","MarketOrder","-200 shares","4.59","-918","-200 shares","-","66","5.92","Filled","2011-02-22 09:30:00"
"2011-02-22","09:30:00","Equity","601333.XSHG","Sell","MarketOrder","-200 shares","3.72","-744","-200 shares","-","-2","5.74","Filled","2011-02-22 09:30:00"
"2011-02-22","09:30:00","Equity","601857.XSHG","Sell","MarketOrder","-200 shares","11.86","-2372","-200 shares","-","74","7.37","Filled","2011-02-22 09:30:00"
"2011-02-22","09:30:00","Equity","600380.XSHG","Sell","MarketOrder","-200 shares","13","-2600","-200 shares","-","238","7.6","Filled","2011-02-22 09:30:00"
"2011-02-22","09:30:00","Equity","000685.XSHE","Buy","MarketOrder","900 shares","18.71","16839","900 shares","-","0","7.58","Filled","2011-02-22 09:30:00"
"2011-02-22","09:30:00","Equity","000623.XSHE","Buy","MarketOrder","500 shares","35.99","17995","500 shares","-","0","8.1","Filled","2011-02-22 09:30:00"
"2011-02-22","09:30:00","Equity","600508.XSHG","Buy","MarketOrder","600 shares","28.98","17388","600 shares","-","0","7.82","Filled","2011-02-22 09:30:00"
"2011-02-22","09:30:00","Equity","600216.XSHG","Buy","MarketOrder","500 shares","33.62","16810","500 shares","-","0","7.56","Filled","2011-02-22 09:30:00"
"2011-02-22","09:30:00","Equity","600660.XSHG","Buy","MarketOrder","1300 shares","12.18","15834","1300 shares","-","0","7.13","Filled","2011-02-22 09:30:00"
"2011-02-23","09:30:00","Equity","600508.XSHG","Sell","MarketOrder","-300 shares","27.46","-8238","-300 shares","-","-456","13.24","Filled","2011-02-23 09:30:00"
"2011-02-23","09:30:00","Equity","600660.XSHG","Sell","MarketOrder","-1000 shares","11.65","-11650","-1000 shares","-","-415.33","16.89","Filled","2011-02-23 09:30:00"
