"Timestamp","BenchmarkReturn","StrategyReturn","DailyProfit","DailyLoss","DailyBuyAmount","DailySellAmount","ExcessReturnPct"
"2011-01-04 16:00:00","1.96","1.2","1199.72","0","90922","0","-0.75"
"2011-01-05 16:00:00","1.52","2.37","1166","0","0","0","0.84"
"2011-01-06 16:00:00","1","1.44","0","-929","0","0","0.44"
"2011-01-07 16:00:00","1.23","-2.2","0","-3640","0","0","-3.39"
"2011-01-10 16:00:00","-0.64","-3.17","0","-966","0","0","-2.55"
"2011-01-11 16:00:00","-0.11","-2.38","789.06","0","0","-7936","-2.27"
"2011-01-12 16:00:00","0.45","-2.82","0","-440","0","0","-3.26"
"2011-01-13 16:00:00","0.42","-3.86","0","-1042","0","-4000","-4.26"
"2011-01-14 16:00:00","-1.16","-6.83","0","-2972.28","0","-12276","-5.74"
"2011-01-17 16:00:00","-4.92","-7.56","0","-728.39","0","-51394","-2.78"
"2011-01-18 16:00:00","-4.81","-7.6","0","-38.89","0","-7890","-2.93"
"2011-01-19 16:00:00","-2.67","-7.6","0","0","0","0","-5.07"
"2011-01-20 16:00:00","-5.87","-7.6","0","0","0","0","-1.84"
"2011-01-21 16:00:00","-4.63","-7.6","0","0","0","0","-3.11"
"2011-01-24 16:00:00","-5.56","-7.6","0","0","0","0","-2.16"
"2011-01-25 16:00:00","-6.06","-7.6","0","0","0","0","-1.64"
"2011-01-26 16:00:00","-4.79","-7.6","0","0","0","0","-2.95"
"2011-01-27 16:00:00","-3.25","-7.6","0","0","0","0","-4.5"
"2011-01-28 16:00:00","-2.93","-7.6","0","0","0","0","-4.81"
"2011-01-31 16:00:00","-1.65","-7.6","0","0","0","0","-6.05"
"2011-02-01 16:00:00","-1.63","-7.67","0","-72.24","90806","0","-6.14"
"2011-02-09 16:00:00","-2.79","-8.38","0","-701.8","0","-61801","-5.75"
"2011-02-10 16:00:00","-0.77","-8.07","310.12","0","0","-17881","-7.36"
"2011-02-11 16:00:00","-0.23","-8.11","0","-40.97","0","-1974","-7.9"
"2011-02-14 16:00:00","2.91","-7.92","182","0","0","0","-10.52"
"2011-02-15 16:00:00","2.86","-7.96","0","-32","0","0","-10.52"
"2011-02-16 16:00:00","3.84","-7.89","68","0","0","0","-11.3"
"2011-02-17 16:00:00","3.76","-7.99","0","-102","0","0","-11.32"
"2011-02-18 16:00:00","2.67","-8.14","0","-150","0","0","-10.53"
"2011-02-21 16:00:00","4.14","-7.89","248","0","0","0","-11.55"
"2011-02-22 16:00:00","1.13","-11.46","0","-3566.34","84866","-6634","-12.45"
"2011-02-23 16:00:00","1.49","-11.61","0","-146.69","0","-50689","-12.91"
"2011-02-24 16:00:00","2","-11.16","450.5","0","0","-3498","-12.9"
"2011-02-25 16:00:00","2.22","-11.12","40","0","0","0","-13.05"
"2011-02-28 16:00:00","3.56","-10.43","684","0","0","0","-13.51"
"2011-03-01 16:00:00","4.05","-10.52","0","-88","0","0","-14"
"2011-03-02 16:00:00","3.68","-10.8","0","-282","0","0","-13.97"
"2011-03-03 16:00:00","2.99","-10.99","0","-192","0","0","-13.57"
"2011-03-04 16:00:00","4.55","-10.52","471.25","0","0","-2750","-14.41"
"2011-03-07 16:00:00","6.59","-9.67","849","0","0","0","-15.25"
"2011-03-08 16:00:00","6.69","-8.04","1631.55","0","72149","-16132","-13.81"
"2011-03-09 16:00:00","6.73","-8.03","7.79","0","0","-55205","-13.83"
"2011-03-10 16:00:00","4.86","-8.2","0","-163.49","0","-3495","-12.45"
"2011-03-11 16:00:00","3.81","-8.47","0","-274","0","0","-11.83"
"2011-03-14 16:00:00","4.3","-7.5","968","0","0","0","-11.31"
"2011-03-15 16:00:00","2.42","-7.36","140","0","0","0","-9.55"
"2011-03-16 16:00:00","3.83","-7.27","89.2","0","0","-1800","-10.69"
"2011-03-17 16:00:00","2.2","-7.36","0","-85.81","0","-1806","-9.35"
"2011-03-18 16:00:00","2.79","-7.2","164","0","0","0","-9.72"
"2011-03-21 16:00:00","2.52","-7.89","0","-698","0","0","-10.15"
"2011-03-22 16:00:00","3.03","-8.15","0","-254.71","79827","-17034","-10.85"
"2011-03-23 16:00:00","4.37","-7.93","216.65","0","0","-56354","-11.78"
"2011-03-24 16:00:00","3.94","-8.15","0","-220.32","0","-3321","-11.63"
"2011-03-25 16:00:00","5.31","-7.64","508","0","0","0","-12.3"
"2011-03-28 16:00:00","5.19","-7.61","37","0","0","0","-12.17"
"2011-03-29 16:00:00","4.15","-8.16","0","-555","0","0","-11.82"
"2011-03-30 16:00:00","4.09","-8.28","0","-121","0","0","-11.88"
"2011-03-31 16:00:00","3.04","-8.38","0","-92","0","0","-11.08"
"2011-04-01 16:00:00","4.62","-7.94","433","0","0","0","-12.01"
"2011-04-06 16:00:00","5.84","-8.17","0","-223","0","0","-13.24"
"2011-04-07 16:00:00","6.27","-6.59","1574.75","0","79099","-21488","-12.1"
"2011-04-08 16:00:00","7.2","-6.45","139.25","0","0","-51754","-12.73"
"2011-04-11 16:00:00","6.56","-6.6","0","-152.41","0","-3412","-12.35"
"2011-04-12 16:00:00","6.35","-6.85","0","-242","0","0","-12.41"
"2011-04-13 16:00:00","7.79","-6.17","676","0","0","0","-12.95"
"2011-04-14 16:00:00","7.2","-6.68","0","-506","0","0","-12.95"
"2011-04-15 16:00:00","7.37","-7.01","0","-336","0","0","-13.39"
"2011-04-18 16:00:00","7.39","-6.74","272","0","0","0","-13.16"
"2011-04-19 16:00:00","5.36","-7.42","0","-680","0","0","-12.13"
