"Timestamp","BenchmarkReturn","StrategyReturn","DailyProfit","DailyLoss","DailyBuyAmount","DailySellAmount","ExcessReturnPct"
"2011-01-04 16:00:00","1.96","1.2","1199.72","0","90922","0","-0.75"
"2011-01-05 16:00:00","1.52","2.37","1166","0","0","0","0.84"
"2011-01-06 16:00:00","1","1.44","0","-929","0","0","0.44"
"2011-01-07 16:00:00","1.23","-2.2","0","-3640","0","0","-3.39"
"2011-01-10 16:00:00","-0.64","-3.17","0","-966","0","0","-2.55"
"2011-01-11 16:00:00","-0.11","-2.38","789.06","0","0","-7936","-2.27"
"2011-01-12 16:00:00","0.45","-2.82","0","-440","0","0","-3.26"
"2011-01-13 16:00:00","0.42","-3.86","0","-1042","0","-4000","-4.26"
"2011-01-14 16:00:00","-1.16","-6.83","0","-2972.28","0","-12276","-5.74"
"2011-01-17 16:00:00","-4.92","-7.56","0","-728.39","0","-51394","-2.78"
"2011-01-18 16:00:00","-4.81","-7.6","0","-38.89","0","-7890","-2.93"
"2011-01-19 16:00:00","-2.67","-7.6","0","0","0","0","-5.07"
"2011-01-20 16:00:00","-5.87","-7.6","0","0","0","0","-1.84"
"2011-01-21 16:00:00","-4.63","-7.6","0","0","0","0","-3.11"
"2011-01-24 16:00:00","-5.56","-7.6","0","0","0","0","-2.16"
"2011-01-25 16:00:00","-6.06","-7.89","0","-284.94","89798","0","-1.95"
"2011-01-26 16:00:00","-4.79","-7.89","1.13","0","0","-60866","-3.26"
"2011-01-27 16:00:00","-3.25","-7.84","42.73","0","0","-17270","-4.74"
"2011-01-28 16:00:00","-2.93","-7.87","0","-23.83","0","-1826","-5.09"
"2011-01-31 16:00:00","-1.65","-7.86","10","0","0","0","-6.31"
"2011-02-01 16:00:00","-1.63","-7.91","0","-53","0","0","-6.38"
"2011-02-09 16:00:00","-2.79","-8","0","-92","0","0","-5.36"
"2011-02-10 16:00:00","-0.77","-7.66","344","0","0","0","-6.94"
"2011-02-11 16:00:00","-0.23","-7.53","127","0","0","0","-7.32"
"2011-02-14 16:00:00","2.91","-7.31","216","0","0","0","-9.93"
"2011-02-15 16:00:00","2.86","-7.39","0","-79","0","0","-9.97"
"2011-02-16 16:00:00","3.84","-7.27","122","0","0","0","-10.7"
"2011-02-17 16:00:00","3.76","-7.31","0","-34","0","0","-10.67"
"2011-02-18 16:00:00","2.67","-7.47","0","-166","0","0","-9.88"
"2011-02-21 16:00:00","4.14","-7.26","210","0","0","0","-10.95"
"2011-02-22 16:00:00","1.13","-10.86","0","-3594.63","84866","-7922","-11.86"
"2011-02-23 16:00:00","1.49","-11","0","-146.69","0","-50689","-12.31"
"2011-02-24 16:00:00","2","-10.55","450.5","0","0","-3498","-12.3"
"2011-02-25 16:00:00","2.22","-10.51","40","0","0","0","-12.45"
"2011-02-28 16:00:00","3.56","-9.83","684","0","0","0","-12.93"
"2011-03-01 16:00:00","4.05","-9.92","0","-88","0","0","-13.43"
"2011-03-02 16:00:00","3.68","-10.2","0","-282","0","0","-13.39"
"2011-03-03 16:00:00","2.99","-10.39","0","-192","0","0","-12.99"
"2011-03-04 16:00:00","4.55","-9.92","471.25","0","0","-2750","-13.84"
"2011-03-07 16:00:00","6.59","-9.07","849","0","0","0","-14.69"
"2011-03-08 16:00:00","6.69","-7.44","1631.55","0","72149","-16132","-13.24"
"2011-03-09 16:00:00","6.73","-7.43","7.79","0","0","-55205","-13.27"
"2011-03-10 16:00:00","4.86","-7.59","0","-163.49","0","-3495","-11.87"
"2011-03-11 16:00:00","3.81","-7.87","0","-274","0","0","-11.25"
"2011-03-14 16:00:00","4.3","-6.9","968","0","0","0","-10.74"
"2011-03-15 16:00:00","2.42","-5.93","967.47","0","78723","-20805","-8.15"
"2011-03-16 16:00:00","3.83","-5.28","649.61","0","0","-55385","-8.77"
"2011-03-17 16:00:00","2.2","-5.5","0","-219","0","0","-7.53"
"2011-03-18 16:00:00","2.79","-5.12","381","0","0","0","-7.7"
"2011-03-21 16:00:00","2.52","-5.84","0","-722","0","0","-8.15"
"2011-03-22 16:00:00","3.03","-6.05","0","-204","0","0","-8.81"
"2011-03-23 16:00:00","4.37","-5.36","691","0","0","0","-9.32"
"2011-03-24 16:00:00","3.94","-5.52","0","-167","0","0","-9.1"
"2011-03-25 16:00:00","5.31","-4.96","565","0","0","0","-9.75"
"2011-03-28 16:00:00","5.19","-4.81","153","0","0","0","-9.51"
"2011-03-29 16:00:00","4.15","-5.4","0","-590","0","0","-9.17"
"2011-03-30 16:00:00","4.09","-5.54","0","-144","0","0","-9.25"
"2011-03-31 16:00:00","3.04","-5.61","0","-69","0","0","-8.39"
"2011-04-01 16:00:00","4.62","-4.83","778","0","0","0","-9.03"
"2011-04-06 16:00:00","5.84","-5.22","0","-394.05","0","-2055","-10.45"
"2011-04-07 16:00:00","6.27","-3.64","1581.92","0","75368","-17323","-9.33"
"2011-04-08 16:00:00","7.2","-2.74","898","0","0","0","-9.27"
"2011-04-11 16:00:00","6.56","-3.06","0","-318","0","0","-9.03"
"2011-04-12 16:00:00","6.35","-3.69","0","-632","0","0","-9.44"
"2011-04-13 16:00:00","7.79","-1.82","1871","0","0","0","-8.92"
"2011-04-14 16:00:00","7.2","-3.06","0","-1235","0","0","-9.57"
"2011-04-15 16:00:00","7.37","-4.13","0","-1072","0","0","-10.71"
"2011-04-18 16:00:00","7.39","-3.21","918","0","0","0","-9.87"
"2011-04-19 16:00:00","5.36","-5.06","0","-1852","0","0","-9.89"
