"Date","OrderTime","AssetType","Security","TradeSide","OrderType","FilledQuantity","FilledPrice","FilledAmount","OrderQuantity","OrderPrice","RealizedPnL","Commission","Status","LastUpdatedAt"
"2011-01-04","09:30:00","Equity","002028.XSHE","Buy","MarketOrder","700 shares","26.24","18368","700 shares","-","0","5.51","Filled","2011-01-04 09:30:00"
"2011-01-04","09:30:00","Equity","601898.XSHG","Buy","MarketOrder","1800 shares","11.11","19998","1800 shares","-","0","6","Filled","2011-01-04 09:30:00"
"2011-01-04","09:30:00","Equity","600395.XSHG","Buy","MarketOrder","500 shares","34.5","17250","500 shares","-","0","5.18","Filled","2011-01-04 09:30:00"
"2011-01-04","09:30:00","Equity","601699.XSHG","Buy","MarketOrder","300 shares","61.42","18426","300 shares","-","0","5.53","Filled","2011-01-04 09:30:00"
"2011-01-04","09:30:00","Equity","000937.XSHE","Buy","MarketOrder","400 shares","42.2","16880","400 shares","-","0","5.06","Filled","2011-01-04 09:30:00"
"2011-01-11","09:30:00","Equity","000937.XSHE","Sell","MarketOrder","-200 shares","39.68","-7936","-200 shares","-","-504","12.94","Filled","2011-01-11 09:30:00"
"2011-01-13","09:30:00","Equity","000937.XSHE","Sell","MarketOrder","-100 shares","40","-4000","-100 shares","-","-220","9","Filled","2011-01-13 09:30:00"
"2011-01-14","09:30:00","Equity","600395.XSHG","Sell","MarketOrder","-200 shares","32.73","-6546","-200 shares","-","-354","11.55","Filled","2011-01-14 09:30:00"
"2011-01-14","09:30:00","Equity","601699.XSHG","Sell","MarketOrder","-100 shares","57.3","-5730","-100 shares","-","-412","10.73","Filled","2011-01-14 09:30:00"
"2011-01-17","09:30:00","Equity","002028.XSHE","Sell","MarketOrder","-300 shares","24.5","-7350","-300 shares","-","-522","12.35","Filled","2011-01-17 09:30:00"
"2011-01-17","09:30:00","Equity","601898.XSHG","Sell","MarketOrder","-900 shares","10.51","-9459","-900 shares","-","-540","14.46","Filled","2011-01-17 09:30:00"
"2011-01-17","09:30:00","Equity","600395.XSHG","Sell","MarketOrder","-300 shares","29.98","-8994","-300 shares","-","-1356","13.99","Filled","2011-01-17 09:30:00"
"2011-01-17","09:30:00","Equity","601699.XSHG","Sell","MarketOrder","-200 shares","53.65","-10730","-200 shares","-","-1554","15.73","Filled","2011-01-17 09:30:00"
"2011-01-17","09:30:00","Equity","000937.XSHE","Sell","MarketOrder","-100 shares","36.55","-3655","-100 shares","-","-565","8.65","Filled","2011-01-17 09:30:00"
"2011-01-17","09:30:00","Equity","002028.XSHE","Sell","MarketOrder","-200 shares","24.5","-4900","-200 shares","-","-348","9.9","Filled","2011-01-17 09:30:00"
"2011-01-17","09:30:00","Equity","601898.XSHG","Sell","MarketOrder","-600 shares","10.51","-6306","-600 shares","-","-360","11.31","Filled","2011-01-17 09:30:00"
"2011-01-18","09:30:00","Equity","002028.XSHE","Sell","MarketOrder","-200 shares","24.21","-4842","-200 shares","-","-406","9.84","Filled","2011-01-18 09:30:00"
"2011-01-18","09:30:00","Equity","601898.XSHG","Sell","MarketOrder","-300 shares","10.16","-3048","-300 shares","-","-285","8.05","Filled","2011-01-18 09:30:00"
"2011-01-25","09:30:00","Equity","002242.XSHE","Buy","MarketOrder","1200 shares","15.01","18012","1200 shares","-","0","5.4","Filled","2011-01-25 09:30:00"
"2011-01-25","09:30:00","Equity","600018.XSHG","Buy","MarketOrder","4200 shares","4.3","18060","4200 shares","-","0","5.42","Filled","2011-01-25 09:30:00"
"2011-01-25","09:30:00","Equity","601006.XSHG","Buy","MarketOrder","2100 shares","8.58","18018","2100 shares","-","0","5.41","Filled","2011-01-25 09:30:00"
"2011-01-25","09:30:00","Equity","600660.XSHG","Buy","MarketOrder","1600 shares","10.91","17456","1600 shares","-","0","5.24","Filled","2011-01-25 09:30:00"
"2011-01-25","09:30:00","Equity","600350.XSHG","Buy","MarketOrder","3900 shares","4.68","18252","3900 shares","-","0","5.48","Filled","2011-01-25 09:30:00"
"2011-01-26","09:30:00","Equity","002242.XSHE","Sell","MarketOrder","-800 shares","15.21","-12168","-800 shares","-","160","17.17","Filled","2011-01-26 09:30:00"
"2011-01-26","09:30:00","Equity","600018.XSHG","Sell","MarketOrder","-2900 shares","4.22","-12238","-2900 shares","-","-232","17.24","Filled","2011-01-26 09:30:00"
"2011-01-26","09:30:00","Equity","601006.XSHG","Sell","MarketOrder","-1400 shares","8.5","-11900","-1400 shares","-","-112","16.9","Filled","2011-01-26 09:30:00"
"2011-01-26","09:30:00","Equity","600660.XSHG","Sell","MarketOrder","-1100 shares","10.57","-11627","-1100 shares","-","-374","16.63","Filled","2011-01-26 09:30:00"
"2011-01-26","09:30:00","Equity","600350.XSHG","Sell","MarketOrder","-2700 shares","4.79","-12933","-2700 shares","-","297","17.93","Filled","2011-01-26 09:30:00"
"2011-01-27","09:30:00","Equity","002242.XSHE","Sell","MarketOrder","-200 shares","15.23","-3046","-200 shares","-","44","8.05","Filled","2011-01-27 09:30:00"
"2011-01-27","09:30:00","Equity","600018.XSHG","Sell","MarketOrder","-900 shares","4.22","-3798","-900 shares","-","-72","8.8","Filled","2011-01-27 09:30:00"
"2011-01-27","09:30:00","Equity","601006.XSHG","Sell","MarketOrder","-400 shares","8.56","-3424","-400 shares","-","-8","8.42","Filled","2011-01-27 09:30:00"
"2011-01-27","09:30:00","Equity","600660.XSHG","Sell","MarketOrder","-300 shares","10.7","-3210","-300 shares","-","-63","8.21","Filled","2011-01-27 09:30:00"
"2011-01-27","09:30:00","Equity","600350.XSHG","Sell","MarketOrder","-800 shares","4.74","-3792","-800 shares","-","48","8.79","Filled","2011-01-27 09:30:00"
"2011-01-28","09:30:00","Equity","600018.XSHG","Sell","MarketOrder","-200 shares","4.34","-868","-200 shares","-","8","5.87","Filled","2011-01-28 09:30:00"
