"Timestamp","BenchmarkReturn","StrategyReturn","DailyProfit","DailyLoss","DailyBuyAmount","DailySellAmount","ExcessReturnPct"
"2011-01-04 16:00:00","1.96","1.17","1172.72","0","90949","0","-0.77"
"2011-01-05 16:00:00","1.52","2.34","1166","0","0","0","0.81"
"2011-01-06 16:00:00","1","1.41","0","-929","0","0","0.41"
"2011-01-07 16:00:00","1.23","-2.23","0","-3640","0","0","-3.42"
"2011-01-10 16:00:00","-0.64","-3.2","0","-966","0","0","-2.58"
"2011-01-11 16:00:00","-0.11","-2.41","787.07","0","0","-7934","-2.3"
"2011-01-12 16:00:00","0.45","-2.85","0","-440","0","0","-3.29"
"2011-01-13 16:00:00","0.42","-3.89","0","-1043","0","-3999","-4.29"
"2011-01-14 16:00:00","-1.16","-6.87","0","-2975.27","0","-12273","-5.78"
"2011-01-17 16:00:00","-4.92","-7.61","0","-746.38","0","-51376","-2.83"
"2011-01-18 16:00:00","-4.81","-7.66","0","-43.88","0","-7885","-2.99"
"2011-01-19 16:00:00","-2.67","-7.66","0","0","0","0","-5.13"
"2011-01-20 16:00:00","-5.87","-7.66","0","0","0","0","-1.9"
"2011-01-21 16:00:00","-4.63","-7.66","0","0","0","0","-3.18"
"2011-01-24 16:00:00","-5.56","-7.66","0","0","0","0","-2.22"
"2011-01-25 16:00:00","-6.06","-7.66","0","0","0","0","-1.7"
"2011-01-26 16:00:00","-4.79","-7.66","0","0","0","0","-3.01"
"2011-01-27 16:00:00","-3.25","-7.66","0","0","0","0","-4.56"
"2011-01-28 16:00:00","-2.93","-7.66","0","0","0","0","-4.87"
"2011-01-31 16:00:00","-1.65","-7.66","0","0","0","0","-6.11"
"2011-02-01 16:00:00","-1.63","-7.81","0","-152.27","90886","0","-6.28"
"2011-02-09 16:00:00","-2.79","-8.6","0","-786.72","0","-61716","-5.98"
"2011-02-10 16:00:00","-0.77","-8.29","304.12","0","0","-17875","-7.58"
"2011-02-11 16:00:00","-0.23","-8.33","0","-40.97","0","-1974","-8.12"
"2011-02-14 16:00:00","2.91","-8.15","182","0","0","0","-10.75"
"2011-02-15 16:00:00","2.86","-8.18","0","-32","0","0","-10.73"
"2011-02-16 16:00:00","3.84","-8.12","68","0","0","0","-11.52"
"2011-02-17 16:00:00","3.76","-8.22","0","-102","0","0","-11.55"
